algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,3,1779062357,0.25,0.14668012709532066,0.018309639254550432,0.12837048784077024,0.6299496235038669,0.7241379310344828,18.29718110000249,5,523,0
vanilla,4,416366155,0.25,0.15148231884819197,0.019208634925089077,0.1322736839231029,0.6219957836468167,0.7105911330049262,22.20330200000899,5,521,0
vanilla,1,1235148768,0.25,0.15089889111874155,0.01933234949554591,0.13156654162319564,0.6667578284105534,0.7192118226600985,23.018631400016602,5,531,0
lo-ransac,2,650318616,0.25,0.11533613423794987,0.017369741531357494,0.09796639270659238,0.5187775186369948,0.7610837438423645,23.058209699986037,4,553,7
vanilla,2,650318616,0.25,0.11991005020798572,0.018639479436115932,0.10127057077186978,0.46260111079389105,0.7278325123152709,24.407871400006115,5,521,0
lo-ransac,0,1760185973,0.25,0.12868950069181,0.016744896333222244,0.11194460435858777,0.6256028169177066,0.7524630541871922,25.461233400041237,5,555,7
vanilla,0,1760185973,0.25,0.16148111000833204,0.01913063236690771,0.14235047764142433,0.8334297642283974,0.7056650246305419,25.67211780004436,5,512,0
gair-ransac,1,1235148768,0.25,0.039738743189442365,0.012578845023860937,0.027159898165581425,0.11176282626992085,0.9322660098522167,29.201994900009595,3,606,11
lo-ransac,3,1779062357,0.25,0.1156877286393245,0.017132929526669144,0.09855479911265536,0.4774204378116142,0.7660098522167488,30.430058800033294,5,566,7
lo-ransac,4,416366155,0.25,0.11410562677792929,0.017544171682206112,0.09656145509572318,0.4525878822948682,0.7266009852216748,31.71283139998559,5,535,7
lo-ransac,1,1235148768,0.25,0.11834217420537184,0.017495780818225625,0.10084639338714621,0.5155803710170356,0.7401477832512315,34.29430409998167,5,548,8
gair-ransac,3,1779062357,0.25,0.03813688273798822,0.011226665366240828,0.026910217371747397,0.10963019317424072,0.9433497536945813,41.61534859996755,3,614,11
gair-ransac,2,650318616,0.25,0.0376937409678699,0.012052027749557331,0.025641713218312566,0.09829991326423163,0.9347290640394089,55.47636839997722,3,608,13
gair-ransac,0,1760185973,0.25,0.038509483648911054,0.01318086772939265,0.025328615919518405,0.10106301176687399,0.9334975369458128,56.31669179996243,3,608,14
gair-ransac,4,416366155,0.25,0.038358877684326644,0.011713407291864993,0.02664547039246165,0.09988679765072944,0.937192118226601,60.15757639997173,3,609,15
