algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
lo-ransac,0,1994545983,0.2,60.0,0.07659067268854887,0.015960352313495366,0.060630320375053504,0.19826837830856373,0.905,60.13053039996885,3,497,11
vanilla,0,1994545983,0.2,60.0,0.0903292082998153,0.014299809824027697,0.0760293984757876,0.5315792812767244,0.8766666666666667,60.159606000059284,7,496,0
lo-ransac,1,1538468048,0.2,60.0,0.0771937099424905,0.01688919361604046,0.06030451632645004,0.19980388951042136,0.9033333333333333,60.11482070002239,3,498,9
vanilla,1,1538468048,0.2,60.0,0.09756222680929863,0.014882007609113708,0.08268021920018492,0.5211167538627394,0.8733333333333333,60.06136009993497,7,497,0
lo-ransac,2,1067321949,0.2,60.0,0.07899802830488588,0.01454089094657651,0.06445713735830937,0.20480325830793739,0.8983333333333333,60.13425190001726,5,499,11
vanilla,2,1067321949,0.2,60.0,0.08035098278110249,0.014522140456915853,0.06582884232418663,0.26427345636850696,0.8866666666666667,60.103699299972504,6,498,0
lo-ransac,3,644854472,0.2,60.0,0.07750502587742847,0.01636954340277144,0.061135482474657034,0.21145318887022235,0.895,60.043541000108235,4,494,10
vanilla,3,644854472,0.2,60.0,0.09207100672345393,0.015552091154258098,0.07651891556919584,0.31359567646952335,0.8733333333333333,60.10144040000159,5,494,0
lo-ransac,4,234592516,0.2,60.0,0.07241364347549432,0.017073045029306972,0.055340598446187356,0.17879505696479414,0.9133333333333333,60.187232900061645,3,497,12
vanilla,4,234592516,0.2,60.0,0.08738825296049796,0.014722089103596087,0.07266616385690187,0.3409247140177292,0.8783333333333333,60.142694400041364,6,497,0
