algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,2028074535,0.4,60.0,0.06772577533417107,0.027131697939416475,0.04059407739475459,0.21423913924174293,0.7883035714285714,60.28984679991845,2,5848,22
gc-ransac,0,2028074535,0.4,60.0,0.08864901038194387,0.03459137109873073,0.05405763928321314,0.27093481781520734,0.6746428571428571,60.371050099958666,3,5425,10
lo-ransac,0,2028074535,0.4,60.0,0.09746389097576626,0.016440163957799406,0.08102372701796685,0.43967019924697026,0.813125,60.13000220002141,6,7753,10
vanilla,0,2028074535,0.4,60.0,0.10461433097891457,0.016409726914121202,0.08820460406479337,0.4749690686173817,0.7841964285714286,60.15971619996708,9,7882,0
gair-ransac,1,693217548,0.4,60.0,0.07731130612220666,0.02803999132361723,0.04927131479858942,0.3070193923446584,0.7835714285714286,60.061356899910606,2,5816,21
gc-ransac,1,693217548,0.4,60.0,0.11953674034443865,0.07227806187615189,0.047258678468286755,0.26532093588277517,0.526875,60.10640679998323,1,3267,11
lo-ransac,1,693217548,0.4,60.0,0.08947669064428032,0.018082319971379206,0.07139437067290112,0.31799623137476907,0.7933928571428571,60.227931699948385,6,7440,11
vanilla,1,693217548,0.4,60.0,0.10696095888556478,0.017336097079563392,0.08962486180600139,0.5205154845569818,0.7633928571428571,60.34295459999703,9,7618,0
gair-ransac,2,1412065182,0.4,60.0,0.12810330084794982,0.08245944194641482,0.045643858901535016,0.3728697675907843,0.64125,60.03784869995434,2,4154,16
gc-ransac,2,1412065182,0.4,60.0,0.10679132789053689,0.033715507046417174,0.07307582084411972,0.4870540243191313,0.6529464285714286,60.103214200004004,3,5247,9
lo-ransac,2,1412065182,0.4,60.0,0.09012222733149716,0.01817131450267209,0.07195091282882507,0.2999665628879586,0.7925892857142857,60.10732460010331,6,7478,11
vanilla,2,1412065182,0.4,60.0,0.11248159609783251,0.017926869293174386,0.09455472680465812,0.6936405078754238,0.7836607142857143,60.23899579991121,8,7674,0
gair-ransac,3,1468750307,0.4,60.0,0.06156439094547564,0.017476687917973906,0.04408770302750173,0.22221642328071875,0.9357142857142857,60.022153400001116,3,7675,27
gc-ransac,3,1468750307,0.4,60.0,0.09704559154067846,0.03018765913605206,0.0668579324046264,0.2792949999018255,0.67625,60.31708200008143,3,5516,8
lo-ransac,3,1468750307,0.4,60.0,0.08826108352241,0.017392325391026787,0.0708687581313832,0.32370696693098105,0.7899107142857142,60.330094299977645,6,7551,10
vanilla,3,1468750307,0.4,60.0,0.0985045310684757,0.017292009801370592,0.08121252126710511,0.2834029387552586,0.7691964285714286,60.04291800002102,9,7719,0
gair-ransac,4,1253669708,0.4,60.0,0.061230930821081164,0.021073902881102165,0.040157027939979,0.2307605634105651,0.8695535714285715,60.06180679996032,3,6851,30
gc-ransac,4,1253669708,0.4,60.0,0.08840419539722195,0.029962395330911037,0.05844180006631092,0.29492707005923163,0.6705357142857142,60.47604770003818,3,5430,8
lo-ransac,4,1253669708,0.4,60.0,0.09808999321126471,0.017482767949057204,0.08060722526220751,0.4225890142193526,0.783125,60.333370800013654,7,7625,9
vanilla,4,1253669708,0.4,60.0,0.11515435347641854,0.017335508422719494,0.09781884505369905,0.63014384183188,0.7714285714285715,60.060778700048104,9,7750,0
