algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,2,1334449673,0.35,0.16349402839036756,0.016442797516928575,0.147051230873439,0.5692375211223137,0.6775032509752926,36.92060589999892,6,467,0
vanilla,0,115823090,0.35,0.1654959813864238,0.01646308848083554,0.14903289290558824,0.5995776848487696,0.6905071521456437,40.153273799980525,6,478,0
vanilla,3,1793812877,0.35,0.1753342631029475,0.01729731072966163,0.15803695237328588,0.7813793494222655,0.6527958387516255,43.231712500040885,6,451,0
vanilla,1,1285212770,0.35,0.18144209482311408,0.018357285308736385,0.1630848095143777,0.6658031961245818,0.6618985695708712,43.93929800001206,6,449,0
vanilla,4,1831287948,0.35,0.15722404436562432,0.016422541838820758,0.14080150252680357,0.6380545545329525,0.6983094928478544,45.06378259998746,6,465,0
lo-ransac,3,1793812877,0.35,0.16609600134270275,0.017769773918922826,0.14832622742377993,0.7278009651114269,0.6840052015604682,52.14698289998341,5,467,7
lo-ransac,0,115823090,0.35,0.17418587409704833,0.018808938000266773,0.15537693609678155,0.611111591812569,0.6527958387516255,53.743760799989104,5,446,7
lo-ransac,2,1334449673,0.35,0.18454808498864,0.016430522600805533,0.16811756238783448,0.563094462923372,0.6918075422626788,54.16239990002941,6,481,9
lo-ransac,1,1285212770,0.35,0.1781053197911805,0.0174462040081215,0.160659115783059,0.6389796266227866,0.6527958387516255,58.08894430001965,6,453,9
lo-ransac,4,1831287948,0.35,0.14044969318148764,0.016638213038001913,0.12381148014348574,0.41720286336616913,0.7100130039011704,58.765098300005775,5,474,8
gair-ransac,4,1831287948,0.35,0.16845014682692583,0.14799058618924668,0.020459560637679147,0.6274246266408656,0.5500650195058517,90.85567629995057,1,232,35
gair-ransac,2,1334449673,0.35,0.17489673255041271,0.15393931045120418,0.020957422099208527,0.6371460450186553,0.5474642392717816,103.5315558000002,1,228,48
gair-ransac,1,1285212770,0.35,0.16721288660779765,0.14602851990504098,0.02118436670275666,0.6326764562564586,0.5565669700910273,122.92107219999889,1,236,41
gair-ransac,0,115823090,0.35,0.12452045792366369,0.10318798116668915,0.02133247675697454,0.47349712875166544,0.6553966189856957,123.32816149998689,2,312,47
gair-ransac,3,1793812877,0.35,0.16962112283187353,0.1284217587214396,0.041199364110433914,0.6216675107693174,0.5383615084525357,148.73283719999017,1,223,56
