algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,1365990088,0.2,60.0,0.1162587139663668,0.08954088539216304,0.026717828574203763,0.4007514352069792,0.4219791666666667,60.260556300054304,2,2489,20
gc-ransac,0,1365990088,0.2,60.0,0.12031849975924497,0.058060818175483336,0.06225768158376164,0.2998306639393171,0.524375,60.121908899978735,1,3616,12
lo-ransac,0,1365990088,0.2,60.0,0.1470838064960114,0.018116319105221313,0.1289674873907901,0.5321851899461474,0.8448958333333333,60.064552500029095,6,7368,11
vanilla,0,1365990088,0.2,60.0,0.14821161838625269,0.01661544959401428,0.1315961687922384,0.7227156756931384,0.8441666666666666,60.06858119997196,9,7659,0
gair-ransac,1,248207700,0.2,60.0,0.09919221931672295,0.0699230450472845,0.029269174269438453,0.4092503237832669,0.49302083333333335,60.10685129999183,3,3175,20
gc-ransac,1,248207700,0.2,60.0,0.09025590543892748,0.0373768442205499,0.05287906121837757,0.22974357788108823,0.6315625,60.00570239999797,2,4735,11
lo-ransac,1,248207700,0.2,60.0,0.14782835777810424,0.01816407557869195,0.12966428219941228,0.5560395905554063,0.8507291666666666,60.20967659994494,7,7547,12
vanilla,1,248207700,0.2,60.0,0.16212803468764686,0.016802358899810833,0.14532567578783603,0.786072074280992,0.8473958333333333,60.324720999924466,9,7641,0
gair-ransac,2,624573896,0.2,60.0,0.09772199831577962,0.06984930218984153,0.027872696125938082,0.4103903239448226,0.4917708333333333,60.047194500104524,3,3165,17
gc-ransac,2,624573896,0.2,60.0,0.10132289444066223,0.05539264345706207,0.045930250983600165,0.3342440807163236,0.5180208333333334,60.42039880005177,1,3538,11
lo-ransac,2,624573896,0.2,60.0,0.14794102463866543,0.018272129497045462,0.12966889514161997,0.5783139131577063,0.8411458333333334,60.00085359998047,6,7346,7
vanilla,2,624573896,0.2,60.0,0.1690746884017387,0.01619128649941993,0.15288340190231878,0.7819518814503331,0.8548958333333333,60.05832219996955,9,7738,0
gair-ransac,3,1180128004,0.2,60.0,0.09955917412661708,0.07030004336923144,0.029259130757385635,0.4106041807207334,0.49270833333333336,60.07965030008927,3,3171,16
gc-ransac,3,1180128004,0.2,60.0,0.1019243502749009,0.04593127524461725,0.05599307503028366,0.2837415077022744,0.6308333333333334,60.06902499997523,2,4687,13
lo-ransac,3,1180128004,0.2,60.0,0.13173841839554873,0.017050433364832487,0.11468798503071626,0.46832357607795627,0.861875,60.02901150006801,6,7503,10
vanilla,3,1180128004,0.2,60.0,0.1389456147878039,0.015258525854121158,0.12368708893368274,0.47004549277854674,0.8764583333333333,60.305569499963894,9,7873,0
gair-ransac,4,70524802,0.2,60.0,0.08922975927055848,0.05358071761522391,0.03564904165533457,0.3827925845649293,0.47552083333333334,60.227810699958354,2,3021,16
gc-ransac,4,70524802,0.2,60.0,0.09988617902141009,0.05446322166692789,0.0454229573544822,0.3240525220376,0.5234375,60.02147649996914,1,3567,11
lo-ransac,4,70524802,0.2,60.0,0.1424111565573112,0.01769760218479541,0.1247135543725158,0.571420372882399,0.8630208333333333,60.04039669991471,7,7579,9
vanilla,4,70524802,0.2,60.0,0.1610670040346169,0.016079850253684407,0.1449871537809325,0.644256807455267,0.8508333333333333,60.3757286000764,9,7698,0
