algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,1365990088,0.3,60.0,0.09510277626599963,0.0697962997696348,0.02530647649636482,0.4141323358606217,0.5452884615384616,60.44368869997561,4,3357,21
gc-ransac,0,1365990088,0.3,60.0,0.1516110182921932,0.05998640642407946,0.09162461186811374,0.3122801056316675,0.5284615384615384,60.17869780003093,1,3398,11
lo-ransac,0,1365990088,0.3,60.0,0.15481121730016678,0.019964367137525477,0.1348468501626413,0.5932100523841685,0.8000961538461538,60.32606350001879,6,7273,9
vanilla,0,1365990088,0.3,60.0,0.1512322893309032,0.016308023831205984,0.13492426549969724,0.6528717961915171,0.8096153846153846,60.33679120009765,10,7751,0
gair-ransac,1,248207700,0.3,60.0,0.11349495085137692,0.08748818491720366,0.026006765934173268,0.4077340131037968,0.4801923076923077,60.3531352999853,3,2673,15
gc-ransac,1,248207700,0.3,60.0,0.12226749555616445,0.057058670876489616,0.06520882467967484,0.28449345577307367,0.5458653846153846,60.186662600026466,1,3521,11
lo-ransac,1,248207700,0.3,60.0,0.14526055741989635,0.01926327418789001,0.12599728323200635,0.4794649355894537,0.8146153846153846,60.23662590002641,6,7301,9
vanilla,1,248207700,0.3,60.0,0.158840594313039,0.017185473175913565,0.14165512113712544,0.5769913013436808,0.8025,60.308540800004266,8,7519,0
gair-ransac,2,624573896,0.3,60.0,0.09408653492264002,0.06976678313643263,0.024319751786207384,0.4156813994461999,0.5445192307692308,60.110857799998485,4,3346,19
gc-ransac,2,624573896,0.3,60.0,0.1316743146539187,0.04569394866883998,0.08598036598507874,0.3274531490948618,0.6040384615384615,60.2839933000505,2,4400,12
lo-ransac,2,624573896,0.3,60.0,0.15000878526944852,0.019163388035541733,0.13084539723390679,0.5160097535872605,0.818173076923077,60.08873009996023,6,7462,10
vanilla,2,624573896,0.3,60.0,0.15978882320177,0.017099208389449,0.142689614812321,0.5560930241262111,0.8027884615384615,60.26945300004445,9,7649,0
gair-ransac,3,1180128004,0.3,60.0,0.0892635789619058,0.06313896876800401,0.026124610193901793,0.42640978234674004,0.5901923076923077,60.332158499979414,5,3829,17
gc-ransac,3,1180128004,0.3,60.0,0.15251495222956007,0.06067009459271518,0.0918448576368449,0.3275949301866491,0.5355769230769231,60.04401589999907,1,3455,11
lo-ransac,3,1180128004,0.3,60.0,0.1629514988497904,0.02054036186258044,0.14241113698720997,0.5391305710914436,0.8028846153846154,60.349973600008525,6,7260,8
vanilla,3,1180128004,0.3,60.0,0.16679953505626316,0.01797971242028038,0.14881982263598278,0.5948032923227791,0.7967307692307692,60.256426699925214,9,7621,0
gair-ransac,4,70524802,0.3,60.0,0.09783199301802718,0.06938277937829995,0.028449213639727234,0.39770684877444895,0.5286538461538461,60.37372250005137,3,3178,18
gc-ransac,4,70524802,0.3,60.0,0.09901343963567988,0.055969337834155905,0.04304410180152398,0.34833050514405495,0.5571153846153846,60.058100300026126,1,3596,10
lo-ransac,4,70524802,0.3,60.0,0.16434649642844862,0.019339826918331984,0.14500666951011665,0.6175310703166602,0.8114423076923077,60.052326400065795,6,7354,10
vanilla,4,70524802,0.3,60.0,0.1373902955840949,0.016885113935424117,0.1205051816486708,0.5147795931498946,0.8129807692307692,60.29539179999847,8,7646,0
