algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,329867922,0.4,60.0,0.04181666578556553,0.01478608530292271,0.027030580482642824,0.05806506304028024,0.9885714285714285,60.14353420003317,1,495,18
gc-ransac,0,329867922,0.4,60.0,0.043356845856446495,0.015578906746101372,0.027777939110345123,0.06510502692356404,0.9571428571428572,60.108057599980384,1,491,10
lo-ransac,0,329867922,0.4,60.0,0.15317975663744102,0.014055500772660505,0.1391242558647805,0.49497631545327475,0.8014285714285714,60.19885130005423,5,497,8
vanilla,0,329867922,0.4,60.0,0.15046097602256797,0.013977882404501199,0.13648309361806676,0.45695148319401613,0.7914285714285715,60.35972159996163,6,498,0
gair-ransac,1,1425979913,0.4,60.0,0.04182642625790824,0.014701309403071346,0.027125116854836897,0.06511352984409877,0.9885714285714285,60.35115020000376,1,495,16
gc-ransac,1,1425979913,0.4,60.0,0.041970724246351135,0.014638101683902647,0.027332622562448484,0.07004324006608464,0.9628571428571429,60.141142199980095,1,491,10
lo-ransac,1,1425979913,0.4,60.0,0.15818408882609752,0.014088320662318228,0.1440957681637793,0.42155449195831163,0.8042857142857143,60.64460140001029,5,497,8
vanilla,1,1425979913,0.4,60.0,0.1589562896104824,0.013526867935772562,0.14542942167470982,0.7788540506360473,0.7714285714285715,60.05397040001117,6,493,0
gair-ransac,2,967638479,0.4,60.0,0.04203475806502668,0.014897694990943235,0.027137063074083444,0.05988523040698244,0.99,60.32079010002781,1,496,23
gc-ransac,2,967638479,0.4,60.0,0.042270892262955294,0.014972626378419675,0.02729826588453562,0.06467055558899042,0.9642857142857143,60.324874700047076,1,493,9
lo-ransac,2,967638479,0.4,60.0,0.14330414207158299,0.013827862449572952,0.12947627962201003,0.4440236718590357,0.8114285714285714,60.1813796000788,5,497,7
vanilla,2,967638479,0.4,60.0,0.13843853207524512,0.014160460912582358,0.12427807116266276,0.5186844630018149,0.8114285714285714,60.0170978999231,5,493,0
gair-ransac,3,652785935,0.4,60.0,0.04180489563498674,0.014736154711136854,0.027068740923849886,0.059923745693033575,0.99,60.30803019995801,1,496,19
gc-ransac,3,652785935,0.4,60.0,0.04212640463438639,0.014689082300309715,0.027437322334076676,0.0667407253065841,0.9671428571428572,60.088287799968384,1,494,9
lo-ransac,3,652785935,0.4,60.0,0.17626999771099836,0.014327629076985737,0.16194236863401262,0.6349402318616099,0.7971428571428572,60.11857469996903,5,496,8
vanilla,3,652785935,0.4,60.0,0.15436828219269058,0.013976072994164774,0.1403922091985258,0.5524751386143835,0.8028571428571428,60.182924700086005,6,498,0
gair-ransac,4,1535018046,0.4,60.0,0.041602755508648843,0.014473759403154004,0.02712899610549484,0.061992377738422616,0.9928571428571429,60.181524400017224,1,497,20
gc-ransac,4,1535018046,0.4,60.0,0.04194898716409482,0.01478947923142546,0.02715950793266936,0.06120459037429419,0.9671428571428572,60.25210119993426,1,495,9
lo-ransac,4,1535018046,0.4,60.0,0.1660045433691103,0.013976794619795554,0.15202774874931474,0.5131551285456273,0.8042857142857143,60.14526370004751,5,498,6
vanilla,4,1535018046,0.4,60.0,0.1595011581893067,0.013904693823945916,0.1455964643653608,0.6195904292147489,0.7971428571428572,60.19723570009228,6,500,0
