algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,0,281131297,0.05,0.03630757293013032,0.01238854035665835,0.02391903257347197,0.053527036709682264,0.9904761904761905,1.2745323999552056,1,498,0
vanilla,2,316334655,0.05,0.03667682493522645,0.01255617854817,0.024120646387056445,0.05217035913359067,0.9885714285714285,1.2618979000253603,1,498,0
lo-ransac,0,281131297,0.05,0.03630757293013032,0.01238854035665835,0.02391903257347197,0.053527036709682264,0.9904761904761905,1.7499399000080302,1,498,1
lo-ransac,2,316334655,0.05,0.03630757293013032,0.01238854035665835,0.02391903257347197,0.053527036709682264,0.9904761904761905,2.0459542000317015,1,498,1
vanilla,4,1080026019,0.05,0.03646720743718607,0.012312387850123034,0.02415481958706303,0.05470014379432517,0.9904761904761905,2.061513199994806,1,498,0
vanilla,1,676917316,0.05,0.03634173041793427,0.012273195802348596,0.024068534615585675,0.051317625206030164,0.9904761904761905,2.3862217999994755,1,498,0
vanilla,3,1641653042,0.05,0.036490621645135855,0.012410266669407923,0.02408035497572793,0.054630467897472466,0.9942857142857143,2.6296569999540225,1,500,0
lo-ransac,1,676917316,0.05,0.03591766176412135,0.012004794197983936,0.023912867566137416,0.05407704869910423,0.9923809523809524,3.120137399993837,1,499,1
lo-ransac,3,1641653042,0.05,0.03630757293013032,0.01238854035665835,0.02391903257347197,0.053527036709682264,0.9904761904761905,3.3545091999694705,1,498,1
gc-ransac,1,676917316,0.05,0.03664843499815042,0.012556875666028955,0.02409155933212146,0.053550822093395636,0.9885714285714285,3.5589432999840938,1,498,2
gair-ransac,0,281131297,0.05,0.03684080039981825,0.012671776283619625,0.024169024116198624,0.05020954728354308,0.9942857142857143,3.837137900001835,1,498,2
lo-ransac,4,1080026019,0.05,0.03786590497307435,0.013231465274230497,0.02463443969884385,0.056805394491915344,0.9885714285714285,3.79797899996629,1,498,2
gc-ransac,2,316334655,0.05,0.03630757293013032,0.01238854035665835,0.02391903257347197,0.053527036709682264,0.9904761904761905,4.151658199960366,1,498,2
gc-ransac,3,1641653042,0.05,0.03767939075756959,0.013194303540895045,0.024485087216674545,0.06047668584090897,0.9885714285714285,4.556732800032478,1,498,2
gc-ransac,0,281131297,0.05,0.038247381178361364,0.013481828909748791,0.024765552268612573,0.05782424496255994,0.9885714285714285,4.8462384000304155,1,498,2
gair-ransac,1,676917316,0.05,0.03599692846594783,0.012290569376377618,0.023706359089570212,0.04918317422497149,0.9942857142857143,5.0473144999705255,1,498,3
gair-ransac,3,1641653042,0.05,0.0373117380453966,0.012767852073780428,0.02454388597161617,0.06080873976977704,0.9942857142857143,5.440589799953159,1,498,3
gair-ransac,4,1080026019,0.05,0.037646580124872445,0.012916559409171972,0.02473002071570047,0.05886432633089036,0.9942857142857143,7.059025100024883,1,498,4
gc-ransac,4,1080026019,0.05,0.03744873028792639,0.013072186457924635,0.024376543830001752,0.050624109425358804,0.9923809523809524,7.111083700030576,1,500,4
gair-ransac,2,316334655,0.05,0.03836554479990347,0.013416270328464612,0.024949274471438857,0.05328705498130265,0.9961904761904762,9.83297930000117,1,499,4
