algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
lo-ransac,0,898752222,0.0,60.0,0.11120009441273962,0.018952382012846384,0.09224771239989324,0.3471579210598114,0.9951923076923077,60.93805470003281,5,414,17
vanilla,0,898752222,0.0,60.0,0.09266044709531093,0.014049829239466821,0.07861061785584411,0.3576996670490318,0.9975961538461539,52.22882459999528,10,415,0
lo-ransac,1,756965441,0.0,60.0,0.11178619288792768,0.018654325868585113,0.09313186701934256,0.31216914477444524,0.9615384615384616,60.31338369997684,3,400,11
vanilla,1,756965441,0.0,60.0,0.088580091912791,0.013721499370756831,0.07485859254203417,0.3874654920746072,0.9975961538461539,52.12685409991536,10,415,0
lo-ransac,2,1347287830,0.0,60.0,0.11068625771785653,0.018129489739807842,0.0925567679780487,0.31702922334964334,0.9711538461538461,60.26306860009208,4,404,12
vanilla,2,1347287830,0.0,60.0,0.09915573434428777,0.01506851816492208,0.0840872161793657,0.3195331059917477,0.9927884615384616,60.295942900003865,8,413,0
lo-ransac,3,1512194228,0.0,60.0,0.09771959344563712,0.017357410071460407,0.08036218337417671,0.3395976992319574,0.9831730769230769,60.02826240006834,4,409,27
vanilla,3,1512194228,0.0,60.0,0.09307199139807196,0.013692077213080099,0.07937991418499185,0.3736084805995802,1.0,60.23807670001406,9,416,0
lo-ransac,4,1897790946,0.0,60.0,0.11611946748487459,0.017677801735643643,0.09844166574923095,0.31731785917097866,0.9855769230769231,60.05159110005479,4,410,13
vanilla,4,1897790946,0.0,60.0,0.09095033642015582,0.017062209066345355,0.07388812735381046,0.31941246585992594,0.9855769230769231,60.01559990004171,6,410,0
