algo,trial,seed,chamfer,hausdorff,runtime_s,n_models
gc-ransac,0,1740241015,0.20130590735813084,0.4333953615517305,69.6186175000621,1
gc-ransac,1,178481825,0.18076249847454715,0.3882380505615319,135.84183009993285,1
gc-ransac,2,523910936,0.21205373079504553,0.46137197056264445,87.15918740001507,1
gc-ransac,3,166026567,0.11450169146207353,0.3200296520071895,42.84504160005599,2
gc-ransac,4,1178737649,0.11201419366286411,0.32482603682932043,52.37646230007522,2
gc-ransac,5,4974662,0.08779234400861854,0.30850615944549664,31.029647199902683,2
gc-ransac,6,2009249418,0.23360964180335364,0.5388550971987204,98.46717379998881,1
gc-ransac,7,845216970,0.22129446504665512,0.4886122086627251,68.27882820006926,1
gc-ransac,8,1172375663,0.1130167146625295,0.34604084593856255,45.460608300054446,2
gc-ransac,9,534401408,0.11771935816002346,0.352838714944305,55.22398459992837,2
gair-ransac,0,733573626,0.1130502005852306,0.35114865282761343,66.28491299995221,2
gair-ransac,1,957111317,0.12060700723941101,0.3559738106075739,50.919985199929215,2
gair-ransac,2,1602139351,0.08781803365402743,0.3048717745390372,19.221845699939877,2
gair-ransac,3,588542488,0.11113342070637355,0.3405944912087814,59.123068299959414,2
gair-ransac,4,191884890,0.10980988931188179,0.32505055668693045,61.9683134999359,2
gair-ransac,5,483432451,0.13722505020409856,0.37739332141931636,91.31570709997322,2
gair-ransac,6,1210888918,0.08733037870466545,0.3121823546655472,19.58305279992055,2
gair-ransac,7,558886995,0.10918995271124868,0.3270858159564471,49.02155320008751,2
gair-ransac,8,292290207,0.0913360703820327,0.30760991354626505,22.596423499984667,2
gair-ransac,9,444537059,0.08721622056583953,0.3034078700958859,19.417721599922515,2
