algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,314686607,0.4,60.0,0.05047297221024197,0.018106410131742464,0.0323665620784995,0.06396285183087305,0.9871428571428571,60.804734799894504,1,499,10
gc-ransac,0,314686607,0.4,60.0,0.048788106011219634,0.01719864124671831,0.03158946476450132,0.06260086637754704,0.9471428571428572,60.0499682999216,1,493,5
lo-ransac,0,314686607,0.4,60.0,0.0912545064681318,0.01622527431536202,0.07502923215276977,0.29328372026393296,0.8471428571428572,60.438323999987915,3,500,5
vanilla,0,314686607,0.4,60.0,0.10683248612152133,0.015625545345048376,0.09120694077647296,0.38860058103721457,0.8257142857142857,61.31159140006639,4,498,0
gair-ransac,1,1939196106,0.4,60.0,0.04868063015001882,0.017167487099067884,0.03151314305095094,0.06401336928077483,0.9842857142857143,60.24278349999804,1,496,16
gc-ransac,1,1939196106,0.4,60.0,0.04795148421350517,0.016571668304896578,0.03137981590860859,0.06197208020762553,0.9485714285714286,60.676931100082584,1,495,4
lo-ransac,1,1939196106,0.4,60.0,0.11569683981687456,0.015725836587930288,0.09997100322894428,0.3795821976265179,0.82,60.17203929997049,4,498,5
vanilla,1,1939196106,0.4,60.0,0.10979614565638576,0.01615721443268528,0.09363893122370048,0.3682638616639615,0.8457142857142858,60.157088099978864,3,497,0
gair-ransac,2,1817127739,0.4,60.0,0.04900715463036602,0.01716258036849955,0.031844574261866467,0.0658448021295852,0.9828571428571429,60.20769690000452,1,494,10
gc-ransac,2,1817127739,0.4,60.0,0.04899319459390517,0.017274507304387503,0.03171868728951767,0.0614842021983423,0.9471428571428572,60.66018559993245,1,494,7
lo-ransac,2,1817127739,0.4,60.0,0.11267091104767339,0.016281869600117318,0.09638904144755607,0.44365020682577117,0.83,60.7300711000571,3,495,6
vanilla,2,1817127739,0.4,60.0,0.11649081010799454,0.015968704359473365,0.10052210574852118,0.4427185020086455,0.8185714285714286,60.68715269991662,4,495,0
gair-ransac,3,1006473231,0.4,60.0,0.045907992159966285,0.01514786504313334,0.030760127116832948,0.06042531111770139,0.99,60.22377110004891,1,500,6
gc-ransac,3,1006473231,0.4,60.0,0.04959463926287944,0.01748742749110236,0.03210721177177708,0.06470917693225794,0.9514285714285714,61.023170099942945,1,497,5
lo-ransac,3,1006473231,0.4,60.0,0.11873194541287323,0.016579029297185282,0.10215291611568794,0.5739340283152526,0.8385714285714285,60.00276269996539,3,496,3
vanilla,3,1006473231,0.4,60.0,0.08734971186918553,0.015921027960463952,0.07142868390872158,0.34389191256582136,0.8371428571428572,60.0269430000335,3,500,0
gair-ransac,4,1081488687,0.4,60.0,0.050308973284711025,0.017989388016804435,0.03231958526790659,0.06433321048898136,0.99,60.019363099941984,1,499,15
gc-ransac,4,1081488687,0.4,60.0,0.049446550334332276,0.01750705294091018,0.0319394973934221,0.06826997380897627,0.9542857142857143,60.10718330007512,1,498,6
lo-ransac,4,1081488687,0.4,60.0,0.09672440402377602,0.012875007257989991,0.08384939676578604,0.34040980223572903,0.8514285714285714,60.053108599968255,3,500,4
vanilla,4,1081488687,0.4,60.0,0.10111840913379262,0.01649037096393519,0.08462803816985744,0.5434297756136584,0.8557142857142858,60.293499500025064,3,499,0
