algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,2028074535,0.1,60.0,0.06254761998571948,0.025610887168796212,0.03693673281692327,0.21308444022918388,0.7411363636363636,60.03466700005811,2,5773,21
gc-ransac,0,2028074535,0.1,60.0,0.08025934844987542,0.028938874599703998,0.051320473850171425,0.2589783893481134,0.7125,60.04535200004466,3,5739,11
lo-ransac,0,2028074535,0.1,60.0,0.10265790924632874,0.014837018865059712,0.08782089038126903,0.44490289600645144,0.94375,60.04590700007975,7,7977,12
vanilla,0,2028074535,0.1,60.0,0.10807577798751017,0.014937792068666715,0.09313798591884345,0.6432986149573271,0.9270454545454545,60.170112999971025,10,7966,0
gair-ransac,1,693217548,0.1,60.0,0.1675936487469669,0.13347015799395404,0.034123490753012846,0.43382092118811594,0.39647727272727273,60.32979900005739,1,2718,13
gc-ransac,1,693217548,0.1,60.0,0.09592252380285621,0.04947311987073448,0.04644940393212173,0.226687063087161,0.5728409090909091,60.37349470006302,2,4446,11
lo-ransac,1,693217548,0.1,60.0,0.08770960420571748,0.014825006734781791,0.07288459747093569,0.4549712972788413,0.9380681818181819,60.177279000054114,7,7965,12
vanilla,1,693217548,0.1,60.0,0.0955024937915806,0.015106712288436366,0.08039578150314423,0.5457552963735034,0.92125,60.35056610009633,10,7908,0
gair-ransac,2,1412065182,0.1,60.0,0.06574548001873841,0.033206641584905924,0.032538838433832484,0.21486782149691283,0.7063636363636364,60.071214299998246,2,5473,17
gc-ransac,2,1412065182,0.1,60.0,0.09827468482157914,0.047176579690372256,0.05109810513120689,0.2444606726017976,0.5957954545454546,60.24712469999213,2,4654,11
lo-ransac,2,1412065182,0.1,60.0,0.08363695967361373,0.014175801569085874,0.06946115810452785,0.33566773481551976,0.9357954545454545,60.137258199974895,8,7956,9
vanilla,2,1412065182,0.1,60.0,0.11160511891236131,0.01562004808026655,0.09598507083209476,0.6471333670044981,0.9246590909090909,60.11987110006157,10,7964,0
gair-ransac,3,1468750307,0.1,60.0,0.059277686489547336,0.021816333262169127,0.03746135322737821,0.2280470950834132,0.8393181818181819,60.30376520007849,3,6671,25
gc-ransac,3,1468750307,0.1,60.0,0.11431675181887663,0.059791919968780874,0.054524831850095754,0.2837929682840376,0.5906818181818182,60.27522770001087,2,4631,10
lo-ransac,3,1468750307,0.1,60.0,0.0980009621210116,0.014959221061847145,0.08304174105916445,0.44915833151321427,0.9359090909090909,60.07054240000434,7,7968,10
vanilla,3,1468750307,0.1,60.0,0.12063957651574253,0.015462983235970638,0.1051765932797719,0.816205688422559,0.928409090909091,60.15286150004249,9,7927,0
gair-ransac,4,1253669708,0.1,60.0,0.1641121541302615,0.0996105489883442,0.0645016051419173,0.35192296696118636,0.5101136363636364,60.0704583999468,2,3723,12
gc-ransac,4,1253669708,0.1,60.0,0.08872784902514716,0.03314846903173952,0.05557937999340764,0.2574580484709632,0.6948863636363637,60.065333000035025,2,5545,10
lo-ransac,4,1253669708,0.1,60.0,0.08147921922319881,0.015064776693515,0.06641444252968381,0.3461156419326154,0.9443181818181818,60.11795500002336,6,7942,10
vanilla,4,1253669708,0.1,60.0,0.1091625621373924,0.014518550583977044,0.09464401155341536,0.6198293716998129,0.9290909090909091,60.036059799953364,10,7944,0
