algo,method,outlier_frac,budget_s,k,n_covered,n_evals,chamfer,cd_coverage,cd_accuracy,hausdorff,n_candidates
gair-ransac,exhaustive,0.25,120.0,1,2794,6,0.185346,0.151383,0.033963,0.47543,6
gair-ransac,ransacov,0.25,120.0,1,3199,6,0.200732,0.161729,0.039004,0.646092,6
gc-ransac,exhaustive,0.25,120.0,1,2648,3,0.123929,0.074814,0.049115,0.257524,3
gc-ransac,ransacov,0.25,120.0,1,2983,3,0.127864,0.076682,0.051182,0.264454,3
lo-ransac,exhaustive,0.25,120.0,1,2272,20,0.137481,0.0828,0.054681,0.331358,20
lo-ransac,ransacov,0.25,120.0,1,2903,20,0.139785,0.081507,0.058278,0.31237,20
vanilla,exhaustive,0.25,120.0,1,2754,20,0.124561,0.075862,0.048699,0.282859,20
vanilla,ransacov,0.25,120.0,1,2754,20,0.124561,0.075862,0.048699,0.282859,20
