algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,657460756,0.0,60.0,0.1462665420566046,0.11656944147076047,0.029697100585844127,0.4776095580094945,0.46615384615384614,60.34600090002641,2,303,22
lo-ransac,0,657460756,0.0,60.0,0.08594634616180546,0.012191917076502162,0.0737544290853033,0.4559265459335973,1.0,60.28801419993397,9,650,13
vanilla,0,657460756,0.0,60.0,0.11941324171890363,0.014777451345661512,0.10463579037324212,0.7688827752881074,0.9861538461538462,60.253551900037564,9,641,0
gair-ransac,1,1943913580,0.0,60.0,0.35422733946118967,0.32815402087605794,0.02607331858513171,0.8440891303590873,0.3123076923076923,60.00227840000298,1,203,14
lo-ransac,1,1943913580,0.0,60.0,0.08828109124362554,0.012640154670611062,0.07564093657301448,0.3101019430349276,0.9753846153846154,60.12205769994762,7,634,13
vanilla,1,1943913580,0.0,60.0,0.10744143026306256,0.01303032283517956,0.094411107427883,0.7011322247030868,0.9907692307692307,60.100819600047544,10,644,0
gair-ransac,2,8213842,0.0,60.0,0.14557932133978727,0.11585899609737427,0.029720325242413005,0.4754597665845337,0.46615384615384614,60.22977909992915,2,303,18
lo-ransac,2,8213842,0.0,60.0,0.100307944905274,0.014277550413296656,0.08603039449197734,0.5386723271521751,0.9815384615384616,60.041077300091274,8,638,14
vanilla,2,8213842,0.0,60.0,0.11999838127020687,0.012895484219612651,0.10710289705059423,0.7287985105772037,0.9938461538461538,57.62977240001783,10,646,0
gair-ransac,3,2098269281,0.0,60.0,0.3581433247337701,0.3323841162443198,0.025759208489450288,0.8447357598382009,0.30923076923076925,60.130981399910524,1,201,20
lo-ransac,3,2098269281,0.0,60.0,0.0873728124691231,0.013532169977735835,0.07384064249138726,0.3990890177996325,0.9661538461538461,60.33315139997285,8,628,12
vanilla,3,2098269281,0.0,60.0,0.13278333099982217,0.01384966343044892,0.11893366756937325,0.8433470897473722,0.9923076923076923,48.88598949997686,10,645,0
gair-ransac,4,1980593794,0.0,60.0,0.1462722553204503,0.11636011438270241,0.02991214093774789,0.48164021004691915,0.46307692307692305,60.014967099996284,2,301,19
lo-ransac,4,1980593794,0.0,60.0,0.10042289150830361,0.012412304018334167,0.08801058748996944,0.7351742260089873,0.9815384615384616,60.36827119998634,8,638,18
vanilla,4,1980593794,0.0,60.0,0.11661898287870098,0.014865150850315596,0.10175383202838538,0.719667962658328,0.9723076923076923,60.244831099989824,10,632,0
