algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,314686607,0.1,60.0,0.0491658115754126,0.017492781621245318,0.031673029954167285,0.06460614557153693,0.9945454545454545,60.05662259995006,1,500,26
gc-ransac,0,314686607,0.1,60.0,0.046841509826352476,0.01591179651440696,0.030929713311945512,0.061282550978661275,0.9872727272727273,60.24353350000456,1,500,16
lo-ransac,0,314686607,0.1,60.0,0.048257684002120875,0.01690249525257803,0.031355188749542844,0.0677515949247792,0.9872727272727273,60.086906300042756,1,499,11
vanilla,0,314686607,0.1,60.0,0.05044133356702893,0.01814504559781031,0.03229628796921862,0.06250594596064447,0.9872727272727273,60.31669850007165,1,498,0
gair-ransac,1,1939196106,0.1,60.0,0.049495556808980545,0.017655391295399888,0.031840165513580654,0.06016640290698225,0.9872727272727273,60.28518789994996,1,497,34
gc-ransac,1,1939196106,0.1,60.0,0.04988868130292679,0.017739884283643682,0.03214879701928311,0.06397379527347472,0.9872727272727273,60.03085179999471,1,499,15
lo-ransac,1,1939196106,0.1,60.0,0.05065800963623353,0.018443153027443673,0.03221485660878986,0.06276101575505667,0.9781818181818182,60.04965149995405,1,495,12
vanilla,1,1939196106,0.1,60.0,0.050774772443806376,0.018249976128876376,0.03252479631493,0.06810274578402559,0.9781818181818182,60.226251299958676,1,494,0
gair-ransac,2,1817127739,0.1,60.0,0.049296732023734594,0.0175129908040512,0.031783741219683394,0.06495703763384299,0.9890909090909091,60.200828599976376,1,497,26
gc-ransac,2,1817127739,0.1,60.0,0.04515037036794347,0.014753156913918425,0.030397213454025046,0.05907271521671163,0.9872727272727273,60.27315340004861,1,500,20
lo-ransac,2,1817127739,0.1,60.0,0.0505724840195979,0.018239432311187805,0.032333051708410096,0.061846376830844624,0.9854545454545455,60.27231859997846,1,498,11
vanilla,2,1817127739,0.1,60.0,0.0494636957402383,0.01761541673786642,0.03184827900237188,0.06189664036773713,0.9836363636363636,60.34844599990174,1,497,0
gair-ransac,3,1006473231,0.1,60.0,0.0441565877221919,0.014007026333521489,0.030149561388670414,0.061100588071653104,0.9981818181818182,60.12546699994709,1,500,30
gc-ransac,3,1006473231,0.1,60.0,0.04969848162007404,0.017749835005928367,0.031948646614145676,0.06742688089763356,0.9854545454545455,60.02600130008068,1,499,19
lo-ransac,3,1006473231,0.1,60.0,0.04449895180201874,0.014342472211125924,0.03015647959089281,0.062333431349527665,0.9854545454545455,60.277384600020014,1,500,13
vanilla,3,1006473231,0.1,60.0,0.04820981885270299,0.016721544851051037,0.03148827400165196,0.06777494811462,0.9818181818181818,60.000959799974225,1,494,0
gair-ransac,4,1081488687,0.1,60.0,0.05143054898657362,0.018796644388482824,0.0326339045980908,0.06515773902308458,0.990909090909091,60.364530400023796,1,499,20
gc-ransac,4,1081488687,0.1,60.0,0.0507672994441454,0.01835073057899515,0.03241656886515025,0.06117947562421407,0.9836363636363636,60.25729310000315,1,498,18
lo-ransac,4,1081488687,0.1,60.0,0.04447855105430966,0.014311346401677732,0.030167204652631924,0.06096934130461027,0.9854545454545455,60.13618909998331,1,500,9
vanilla,4,1081488687,0.1,60.0,0.04931765669229135,0.017295684734324714,0.03202197195796664,0.06370090152101704,0.9781818181818182,60.27836140000727,1,494,0
