algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,0,1994805340,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,0.20746030000736937,1,500,0
vanilla,1,391279252,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,0.28426350001245737,1,500,0
vanilla,2,1891780287,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,0.26226279995171353,1,500,0
vanilla,3,674349149,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,0.2512179000186734,1,500,0
lo-ransac,0,1994805340,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,0.5546955000027083,1,500,1
vanilla,4,1801034346,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,0.34268470003735274,1,500,0
lo-ransac,1,391279252,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,0.5671943000052124,1,500,1
lo-ransac,2,1891780287,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,0.5830527000362054,1,500,1
lo-ransac,3,674349149,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,0.555054199998267,1,500,1
lo-ransac,4,1801034346,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,0.6029415000230074,1,500,1
gc-ransac,2,1891780287,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,0.9709678000072017,1,500,2
gc-ransac,0,1994805340,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,1.1778492000303231,1,500,2
gc-ransac,1,391279252,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,1.110417099960614,1,500,2
gc-ransac,4,1801034346,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,0.995788200001698,1,500,2
gc-ransac,3,674349149,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,1.4154436999815516,1,500,2
gair-ransac,1,391279252,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,1.7767544999951497,1,500,3
gair-ransac,4,1801034346,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,1.8134168999968097,1,500,3
gair-ransac,3,674349149,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,2.1717703999602236,1,500,4
gair-ransac,2,1891780287,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,2.2736936999717727,1,500,3
gair-ransac,0,1994805340,0.0,0.04435825599139524,0.01550387021802662,0.028854385773368626,0.057379477071963086,1.0,3.117596300027799,1,500,3
