algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,1365990088,0.4,60.0,0.11022271143318094,0.08860851968592115,0.021614191747259787,0.40784407587898924,0.5091964285714285,60.20605720009189,3,2585,17
gc-ransac,0,1365990088,0.4,60.0,0.1347077990373583,0.04452698153581645,0.09018081750154186,0.35400749714978313,0.6308035714285715,60.13054909999482,2,4553,10
lo-ransac,0,1365990088,0.4,60.0,0.14916594861208415,0.018661286438846056,0.1305046621732381,0.5012938235702352,0.7638392857142857,60.25213879998773,7,7441,10
vanilla,0,1365990088,0.4,60.0,0.1823083627867913,0.019185740159605683,0.1631226226271856,0.6250138059106806,0.7641071428571429,60.041624199948274,9,7557,0
gair-ransac,1,248207700,0.4,60.0,0.0683449788881173,0.03301912950254641,0.0353258493855709,0.32608368491178535,0.5835714285714285,60.38247959990986,2,3516,18
gc-ransac,1,248207700,0.4,60.0,0.16337709473025047,0.06026332657742842,0.10311376815282204,0.3756186574108997,0.5555357142857142,60.32529599999543,1,3453,12
lo-ransac,1,248207700,0.4,60.0,0.16016592780061648,0.020204530683465734,0.13996139711715075,0.49810566871477124,0.7654464285714285,60.27264129999094,6,7247,8
vanilla,1,248207700,0.4,60.0,0.1779694899607112,0.017708008130884884,0.16026148182982633,0.647248072938362,0.7669642857142858,60.32427079998888,9,7625,0
gair-ransac,2,624573896,0.4,60.0,0.06558741109724142,0.03230936218551184,0.033278048911729585,0.3590134277896871,0.6703571428571429,60.31940400006715,4,4428,21
gc-ransac,2,624573896,0.4,60.0,0.14488488067946498,0.052559449132673394,0.0923254315467916,0.3385777490621684,0.6169642857142857,60.02834740001708,2,4392,11
lo-ransac,2,624573896,0.4,60.0,0.16866427241230703,0.01936971026162917,0.14929456215067785,0.6623074277276307,0.7711607142857143,60.33520420000423,7,7379,10
vanilla,2,624573896,0.4,60.0,0.16467291929250444,0.01886204981479142,0.14581086947771302,0.5759563527020299,0.7583035714285714,60.09961509995628,8,7451,0
gair-ransac,3,1180128004,0.4,60.0,0.14823656640541952,0.11841606153574051,0.029820504869679014,0.5638998991848624,0.5066071428571428,60.03170719998889,4,2502,15
gc-ransac,3,1180128004,0.4,60.0,0.18833135047656363,0.06374870322721685,0.12458264724934677,0.3914520283016341,0.5400892857142857,60.28970609989483,1,3373,10
lo-ransac,3,1180128004,0.4,60.0,0.15537052278499394,0.01794649108447028,0.13742403170052367,0.5591216518943175,0.7838392857142857,60.300350000034086,7,7520,10
vanilla,3,1180128004,0.4,60.0,0.15873173797610135,0.0166717330613157,0.14206000491478565,0.5106060900050172,0.7678571428571429,60.263735899934545,9,7688,0
gair-ransac,4,70524802,0.4,60.0,0.09882379935048677,0.07025447240326656,0.02856932694722021,0.4052251688796042,0.56,60.070188200101256,3,3158,19
gc-ransac,4,70524802,0.4,60.0,0.1458843375631108,0.06055190037265695,0.08533243719045384,0.29359166060156366,0.5548214285714286,60.05578689998947,1,3411,10
lo-ransac,4,70524802,0.4,60.0,0.15939779955670022,0.02010628252342056,0.13929151703327966,0.5625239028427899,0.7614285714285715,60.21951099997386,6,7188,8
vanilla,4,70524802,0.4,60.0,0.16340957281570204,0.01778200438744412,0.14562756842825791,0.6089569458441957,0.7685714285714286,60.17662509996444,8,7489,0
