curve,algorithm,error_metric,use_normal_coherence,classifier,noise_std,threshold_scale,threshold,run_idx,metric_value
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,0.6,1.5,0.8999999999999999,0,0.9429167482446492
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,0.6,2.0,1.2,0,0.8887309333630091
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,0.6,2.5,1.5,0,0.7964286910767784
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,0.6,3.0,1.7999999999999998,0,0.8114816781600587
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,0.6,3.5,2.1,0,0.7736348258925785
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,0.6,4.0,2.4,0,0.7418462925358177
GAIR-RANSAC radial chamfer,gair-ransac,radial,True,chamfer,0.6,4.5,2.6999999999999997,0,0.7097793658424323
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.6,0.0,0.001,0,2.4263073678231284
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.6,0.5,0.3,0,5.887766484699743
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.6,1.0,0.6,0,6.291560995679948
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.6,1.5,0.8999999999999999,0,12.645540575512083
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.6,2.0,1.2,0,3.2501835905731764
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.6,2.5,1.5,0,12.43457232790953
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.6,3.0,1.7999999999999998,0,3.4551994922315665
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.6,3.5,2.1,0,13.099675464398414
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.6,4.0,2.4,0,13.845576838061243
RANSAC hausdorff,ransac,first_order,True,hausdorff,0.6,4.5,2.6999999999999997,0,3.4910832152114053
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.6,0.0,0.001,0,nan
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.6,0.5,0.3,0,8.64697319641683
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.6,1.0,0.6,0,4.252757828609861
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.6,1.5,0.8999999999999999,0,3.602669617684262
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.6,2.0,1.2,0,13.465397085823868
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.6,2.5,1.5,0,3.615545143701709
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.6,3.0,1.7999999999999998,0,4.02528985118064
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.6,3.5,2.1,0,12.2807846931425
GAIR-RANSAC first-order hausdorff,gair-ransac,first_order,True,hausdorff,0.6,4.0,2.4,0,12.916722225519749
