algo,trial,seed,outlier_frac,budget_s,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
gair-ransac,0,329867922,0.0,60.0,0.04167699468479798,0.014568515367509305,0.027108479317288676,0.06451893618799327,0.994,60.28123189997859,1,497,29
gc-ransac,0,329867922,0.0,60.0,0.04211895336177954,0.014894474264945487,0.027224479096834054,0.05844860199065105,0.996,60.013727899990045,1,498,23
lo-ransac,0,329867922,0.0,60.0,0.04200774027289742,0.014987861102967948,0.027019879169929473,0.06075594869947464,0.988,60.284591499948874,1,494,23
vanilla,0,329867922,0.0,60.0,0.041938465267378044,0.014866619008289401,0.027071846259088646,0.06447892386690901,0.984,60.00430080003571,1,492,0
gair-ransac,1,1425979913,0.0,60.0,0.04195028602344594,0.014839735023924851,0.027110550999521095,0.06287847986252405,0.994,60.33361289999448,1,497,30
gc-ransac,1,1425979913,0.0,60.0,0.04195028602344594,0.014839735023924851,0.027110550999521095,0.06287847986252405,0.994,60.2264435000252,1,497,23
lo-ransac,1,1425979913,0.0,60.0,0.041949695199290635,0.014776255657419933,0.027173439541870698,0.0640814678206401,0.99,60.273062200052664,1,495,25
vanilla,1,1425979913,0.0,60.0,0.04235242806199505,0.015013080176212163,0.02733934788578289,0.06726738467762183,0.986,60.00898479996249,1,493,0
gair-ransac,2,967638479,0.0,60.0,0.041834860868220504,0.01474079321673501,0.027094067651485493,0.06431856326785602,0.988,60.04795949999243,1,494,31
gc-ransac,2,967638479,0.0,60.0,0.04222708962215604,0.014913785787504132,0.027313303834651904,0.061771056723886594,0.992,60.03033400001004,1,496,22
lo-ransac,2,967638479,0.0,60.0,0.042276571367645524,0.015139261334919283,0.027137310032726243,0.06622779922415525,0.988,60.05875660001766,1,494,25
vanilla,2,967638479,0.0,60.0,0.042271448255142396,0.015081539050753892,0.027189909204388508,0.06406223568157633,0.984,60.29723390005529,1,492,0
gair-ransac,3,652785935,0.0,60.0,0.041839722326921354,0.014705216988239513,0.02713450533868184,0.06333732775452236,0.994,60.01403560000472,1,497,30
gc-ransac,3,652785935,0.0,60.0,0.041839722326921354,0.014705216988239513,0.02713450533868184,0.06333732775452236,0.994,60.16209430003073,1,497,23
lo-ransac,3,652785935,0.0,60.0,0.04196227040620294,0.014737826437801405,0.027224443968401537,0.0709416447276443,0.984,60.202018399955705,1,492,22
vanilla,3,652785935,0.0,60.0,0.04181546288557736,0.014744675475362961,0.0270707874102144,0.06278294032227551,0.99,60.33041460008826,1,495,0
gair-ransac,4,1535018046,0.0,60.0,0.04136184068410194,0.014447272854667912,0.02691456782943403,0.05828449305718036,0.99,60.30352950002998,1,495,30
gc-ransac,4,1535018046,0.0,60.0,0.041970936400352515,0.01488101225238532,0.027089924147967195,0.06410232446070793,0.992,60.0118859000504,1,496,24
lo-ransac,4,1535018046,0.0,60.0,0.042247414024347965,0.015107181556079144,0.027140232468268823,0.0664572043475311,0.992,60.00540489994455,1,496,22
vanilla,4,1535018046,0.0,60.0,0.04178068638459298,0.014375299252665539,0.02740538713192744,0.07016670934111403,0.984,60.21030069992412,1,492,0
