algo,method,outlier_frac,k,n_covered,n_evals,chamfer,cd_coverage,cd_accuracy,hausdorff,n_candidates
vanilla,ransacov,0.1,1,367,10,0.052486,0.018337,0.034149,0.104531,10
lo-ransac,ransacov,0.1,1,369,10,0.054343,0.019406,0.034937,0.103739,10
gc-ransac,ransacov,0.1,1,371,5,0.053523,0.018962,0.034562,0.105736,5
gair-ransac,ransacov,0.1,1,367,6,0.052868,0.018682,0.034186,0.102093,6
