algo,method,outlier_frac,k,n_covered,n_evals,chamfer,cd_coverage,cd_accuracy,hausdorff,n_candidates
vanilla,ransacov,0.15,1,634,32,0.172652,0.053326,0.119326,0.456622,32
lo-ransac,ransacov,0.15,1,770,28,0.082666,0.047759,0.034908,0.233685,28
gc-ransac,ransacov,0.15,1,723,8,0.092623,0.046878,0.045745,0.255101,8
gair-ransac,ransacov,0.15,1,776,19,0.082975,0.049107,0.033868,0.24155,19
