pc,outlier_frac,algo,chamfer,cd_coverage,cd_accuracy,hausdorff,k,n_covered,n_evals,n_candidates
supersingle7_0_0,0.4,lo-ransac,0.043335,0.014776,0.028559,0.057535,1,500,11,11
supersingle7_0_0,0.4,vanilla,0.045426,0.015957,0.029468,0.057654,1,500,11,11
supersingle9_0_0,0.0,gair-ransac,0.046727,0.016283,0.030445,0.06457,1,500,5,5
supersingle9_0_0,0.0,gc-ransac,0.046727,0.016283,0.030445,0.06457,1,500,5,5
supersingle9_0_0,0.0,lo-ransac,0.046727,0.016283,0.030445,0.06457,1,500,5,5
supersingle9_0_0,0.0,vanilla,0.046727,0.016283,0.030445,0.06457,1,500,5,5
supersingle9_0_0,0.05,gair-ransac,0.046961,0.016516,0.030445,0.066048,1,500,5,5
supersingle9_0_0,0.05,gc-ransac,0.047075,0.016526,0.030549,0.066617,1,500,5,5
supersingle9_0_0,0.05,lo-ransac,0.047075,0.016526,0.030549,0.066617,1,500,5,5
supersingle9_0_0,0.05,vanilla,0.047075,0.016526,0.030549,0.066617,1,500,5,5
supersingle9_0_0,0.1,gair-ransac,0.046675,0.016223,0.030452,0.062243,1,500,5,5
supersingle9_0_0,0.1,gc-ransac,0.046613,0.016025,0.030589,0.0615,1,500,5,5
supersingle9_0_0,0.1,lo-ransac,0.043272,0.014112,0.02916,0.057485,1,500,5,5
supersingle9_0_0,0.1,vanilla,0.04646,0.015882,0.030579,0.061202,1,500,5,5
supersingle9_0_0,0.15,gair-ransac,0.048347,0.017391,0.030956,0.060682,1,500,5,5
supersingle9_0_0,0.15,gc-ransac,0.046804,0.016142,0.030662,0.060547,1,500,5,5
supersingle9_0_0,0.15,lo-ransac,0.048896,0.01754,0.031356,0.063989,1,500,5,5
supersingle9_0_0,0.15,vanilla,0.046111,0.015952,0.030158,0.064642,1,499,5,5
supersingle9_0_0,0.2,gair-ransac,0.046979,0.016476,0.030503,0.066647,1,500,5,5
supersingle9_0_0,0.2,gc-ransac,0.046656,0.016153,0.030503,0.06254,1,500,5,5
supersingle9_0_0,0.2,lo-ransac,0.04833,0.017069,0.031261,0.063456,1,500,5,5
supersingle9_0_0,0.2,vanilla,0.046923,0.016325,0.030598,0.064505,1,498,5,5
supersingle9_0_0,0.25,gair-ransac,0.047185,0.016584,0.030602,0.067947,1,500,5,5
supersingle9_0_0,0.25,gc-ransac,0.046674,0.01623,0.030444,0.060576,1,500,5,5
supersingle9_0_0,0.25,lo-ransac,0.048063,0.017052,0.031011,0.063394,1,500,6,6
supersingle9_0_0,0.25,vanilla,0.048426,0.017142,0.031285,0.060393,1,500,5,5
supersingle9_0_0,0.3,gair-ransac,0.047097,0.016328,0.030769,0.062288,1,500,5,5
supersingle9_0_0,0.3,gc-ransac,0.04344,0.014124,0.029316,0.058638,1,500,5,5
supersingle9_0_0,0.3,lo-ransac,0.046066,0.015971,0.030095,0.06337,1,499,8,8
supersingle9_0_0,0.3,vanilla,0.047214,0.016558,0.030656,0.060717,1,498,9,9
supersingle9_0_0,0.35,gair-ransac,0.046927,0.016302,0.030625,0.061147,1,500,5,5
supersingle9_0_0,0.35,gc-ransac,0.047003,0.01663,0.030374,0.06207,1,500,5,5
supersingle9_0_0,0.35,lo-ransac,0.047114,0.016541,0.030573,0.058719,1,499,8,8
supersingle9_0_0,0.35,vanilla,0.046929,0.016371,0.030558,0.058571,1,496,8,8
supersingle9_0_0,0.4,gair-ransac,0.043738,0.014343,0.029395,0.058708,1,500,5,5
supersingle9_0_0,0.4,gc-ransac,0.046748,0.016318,0.03043,0.058121,1,500,5,5
supersingle9_0_0,0.4,lo-ransac,0.042258,0.013299,0.028959,0.057214,1,500,12,12
supersingle9_0_0,0.4,vanilla,0.047376,0.016784,0.030592,0.065928,1,498,11,11
