outlier_frac,algo,chamfer_mean,chamfer_std,chamfer_count,cd_coverage_mean,cd_coverage_std,cd_coverage_count,cd_accuracy_mean,cd_accuracy_std,cd_accuracy_count,hausdorff_mean,hausdorff_std,hausdorff_count,k_mean,k_std,k_count,n_covered_mean,n_covered_std,n_covered_count,n_evals_mean,n_evals_std,n_evals_count,n_candidates_mean,n_candidates_std,n_candidates_count
0.0,gair-ransac,0.11783650000000001,0.061660386226580766,10,0.0905617,0.06365440194615156,10,0.027275,0.0072129659949596615,10,0.3742586,0.271299770826868,10,1.0,0.0,10,1105.1,1303.4843433403153,10,13.4,7.705697747626606,10,13.4,7.705697747626606,10
0.0,gc-ransac,0.08133599999999999,0.055306422254304495,8,0.048431,0.05582805199641383,8,0.032905125,0.006633091617844147,8,0.22956137499999998,0.2579292509301935,8,1.0,0.0,8,1458.5,1636.8575293618476,8,8.125,3.6425069859723185,8,8.125,3.6425069859723185,8
0.0,lo-ransac,0.0867733,0.04893603124726538,10,0.0372392,0.02630916359496567,10,0.049534299999999996,0.038624507493587826,10,0.2127659,0.16503096352600694,10,1.0,0.0,10,1217.6,1478.3594661350503,10,15.6,9.617114374327098,10,15.6,9.617114374327098,10
0.0,vanilla,0.0932012,0.052081888075521145,10,0.0436306,0.0372305198405824,10,0.049571,0.03920321250158518,10,0.2391102,0.16664663404661573,10,1.0,0.0,10,1199.6,1452.9787946758818,10,16.6,10.308572484426088,10,16.6,10.308572484426088,10
0.05,gair-ransac,0.1059319,0.06113173699742403,10,0.07788579999999999,0.06380096358171682,10,0.028045900000000002,0.005658814038490946,10,0.3339416,0.2757508436538721,10,1.0,0.0,10,1111.6,1268.2432469102027,10,12.5,7.153087911291645,10,12.5,7.153087911291645,10
0.05,gc-ransac,0.081685625,0.05747819548300157,8,0.04910925,0.05707045663225664,8,0.0325765,0.00904352287551704,8,0.232139125,0.261965401827601,8,1.0,0.0,8,1428.375,1588.835147206909,8,6.875,2.2951812875799473,8,6.875,2.2951812875799473,8
0.05,lo-ransac,0.0878896,0.04986684943861336,10,0.034459699999999996,0.022530494259262634,10,0.053429899999999995,0.03594590285245007,10,0.2105917,0.16411810599148813,10,1.0,0.0,10,1231.8,1496.7820148572068,10,17.7,12.17511122468018,10,17.7,12.17511122468018,10
0.05,vanilla,0.0882803,0.052511603835194785,10,0.033018599999999995,0.019747496247485258,10,0.0552615,0.040723131314469856,10,0.207891,0.1647743863233064,10,1.0,0.0,10,1175.7,1418.0631587564153,10,18.7,13.013241119891864,10,18.7,13.013241119891864,10
0.1,gair-ransac,0.11038200000000001,0.06458983929724894,10,0.07714170000000001,0.0636863184959428,10,0.0332402,0.011736166909742435,10,0.3276436,0.2720932456649538,10,1.0,0.0,10,1122.4,1298.3120836943122,10,12.0,7.118052168020874,10,12.0,7.118052168020874,10
0.1,gc-ransac,0.080296125,0.055958501385114455,8,0.04821275,0.056355992686163,8,0.03208375,0.007156908545494445,8,0.22136725,0.25744307569455316,8,1.0,0.0,8,1439.375,1593.4731104011228,8,7.25,2.434865792722759,8,7.25,2.434865792722759,8
0.1,lo-ransac,0.0877772,0.04745844720454586,10,0.0341629,0.02088116015002785,10,0.0536142,0.03535486932611499,10,0.218572,0.16097497653914342,10,1.0,0.0,10,1219.2,1478.1734825264741,10,19.6,14.781369655376626,10,19.6,14.781369655376626,10
0.1,vanilla,0.0943739,0.05230666362573277,10,0.034121,0.021647145955067615,10,0.0602529,0.039323934612819876,10,0.22842820000000003,0.16027935048034106,10,1.0,0.0,10,1226.7,1519.141062135662,10,20.7,16.22104257506965,10,20.7,16.22104257506965,10
0.15,gair-ransac,0.1014189,0.06489990317652425,10,0.0732073,0.06781647186840215,10,0.028211399999999998,0.006690514117431901,10,0.320057,0.2859110946904843,10,1.0,0.0,10,1192.9,1459.1528326014684,10,12.6,7.604092465391398,10,12.6,7.604092465391398,10
0.15,gc-ransac,0.07763744444444444,0.03569023329326635,9,0.03472566666666667,0.026578561689828136,9,0.04291177777777778,0.02700757953694563,9,0.18786355555555556,0.11995882870605142,9,1.0,0.0,9,1308.4444444444443,1511.7036838540077,9,6.0,3.2787192621510006,9,6.0,3.2787192621510006,9
0.15,lo-ransac,0.0885051,0.0520312821407575,10,0.034256600000000005,0.020201154236550167,10,0.0542486,0.0398412434913035,10,0.204949,0.15936505783403226,10,1.0,0.0,10,1252.2,1542.4855698946858,10,21.1,16.50892014773966,10,21.1,16.50892014773966,10
0.15,vanilla,0.0925598,0.05122921932040131,10,0.0348857,0.022051848952714448,10,0.057674,0.03547546436310282,10,0.20711909999999997,0.14600120314911413,10,1.0,0.0,10,1149.2,1381.7498406810917,10,22.2,17.280689286663947,10,22.2,17.280689286663947,10
0.2,gair-ransac,0.10096020000000001,0.06456632551587724,10,0.072836,0.06769287722090445,10,0.028124,0.006417583934437908,10,0.3198983,0.28580639977402345,10,1.0,0.0,10,1178.2,1422.28437537802,10,12.2,7.37563556583431,10,12.2,7.37563556583431,10
0.2,gc-ransac,0.067451625,0.02669302258182035,8,0.02762325,0.017827011677708157,8,0.039828625,0.01893853576281138,8,0.15694725,0.09634462612006071,8,1.0,0.0,8,1411.5,1535.4001805020455,8,7.0,2.9760952365713798,8,7.0,2.9760952365713798,8
0.2,lo-ransac,0.0928606,0.05911069131571905,10,0.0339502,0.020238757141243194,10,0.058910399999999995,0.048949929288792424,10,0.2201174,0.17634447219336236,10,1.0,0.0,10,1220.8,1497.5740233976935,10,22.1,16.8486728788287,10,22.1,16.8486728788287,10
0.2,vanilla,0.0879275,0.055003771568159054,10,0.0335196,0.019545539492284283,10,0.054408,0.04392834712979257,10,0.20032809999999998,0.161556146494338,10,1.0,0.0,10,1152.1,1375.491948358841,10,22.3,16.970890109570302,10,22.3,16.970890109570302,10
0.25,gair-ransac,0.1037295,0.06424628296424799,10,0.07558669999999999,0.06747221452494352,10,0.0281429,0.006921535257601612,10,0.33279939999999997,0.28453307466022293,10,1.0,0.0,10,1126.2,1306.6845917137855,10,11.7,7.616502551113018,10,11.7,7.616502551113018,10
0.25,gc-ransac,0.071919625,0.03302073771754221,8,0.02972975,0.020469136409656925,8,0.042189875,0.02486916484574824,8,0.163994,0.10417645670550656,8,1.0,0.0,8,1463.875,1601.652846058007,8,7.375,4.718883039751796,8,7.375,4.718883039751796,8
0.25,lo-ransac,0.0873743,0.04332863895354511,10,0.033826,0.020687286772315017,10,0.053548399999999996,0.03016268975701235,10,0.20217369999999998,0.12951544573357524,10,1.0,0.0,10,1247.1,1548.8995699456366,10,23.6,16.37206292574166,10,23.6,16.37206292574166,10
0.25,vanilla,0.089294,0.04323804482423115,10,0.035734,0.022116856914529644,10,0.053559999999999997,0.028807525131850923,10,0.2023602,0.1223345296615437,10,1.0,0.0,10,1178.7,1425.2365924450733,10,23.4,16.667999946670932,10,23.4,16.667999946670932,10
0.3,gair-ransac,0.10343549999999999,0.06336069193338861,10,0.0749047,0.06743871479935608,10,0.028530899999999998,0.00740119992448672,10,0.3315153,0.28380544696873283,10,1.0,0.0,10,1150.6,1357.2602468862697,10,12.6,7.890923055426827,10,12.6,7.890923055426827,10
0.3,gc-ransac,0.07875277777777778,0.03600049802703352,9,0.03636288888888889,0.02952543910953927,9,0.042389777777777776,0.021597271655105988,9,0.18646544444444443,0.11864901778998331,9,1.0,0.0,9,1313.7777777777778,1514.3306919046595,9,6.888888888888889,4.4565806523736455,9,6.888888888888889,4.4565806523736455,9
0.3,lo-ransac,0.0940535,0.055936319507593237,10,0.0342159,0.02111563837249013,10,0.05983770000000001,0.04276909356338212,10,0.2336141,0.18975776687453694,10,1.0,0.0,10,1212.7,1483.0771351783728,10,24.0,16.431676725154983,10,24.0,16.431676725154983,10
0.3,vanilla,0.100447,0.062093230291232225,10,0.0325446,0.017459489595441597,10,0.0679023,0.052448758989767016,10,0.239913,0.1991469863158031,10,1.0,0.0,10,1150.0,1386.3100502973912,10,24.5,16.160651802036536,10,24.5,16.160651802036536,10
0.35,gair-ransac,0.10200240000000001,0.06477611057618216,10,0.0739462,0.06790773496083573,10,0.0280564,0.006793279100208774,10,0.324058,0.28589722925438316,10,1.0,0.0,10,1183.0,1439.2524294075572,10,12.2,8.52186729667989,10,12.2,8.52186729667989,10
0.35,gc-ransac,0.082864875,0.04233891294386119,8,0.02928725,0.018680511546605386,8,0.053577625,0.029706819308211275,8,0.189499125,0.1537973328873679,8,1.0,0.0,8,1423.25,1551.138544977297,8,8.125,5.19443383412888,8,8.125,5.19443383412888,8
