pc,outlier_frac,algo,chamfer_mean,chamfer_std,cd_coverage_mean,cd_coverage_std,cd_accuracy_mean,cd_accuracy_std,hausdorff_mean,hausdorff_std,classification_rate_mean,classification_rate_std,runtime_s_mean,runtime_s_std
acartoon_character,0.0,gair-ransac,0.03627371716643522,0.0034864074010066463,0.015630371125643305,0.0016413081440644632,0.020643346040791846,0.0025678201025913323,0.23313180223355373,0.038608692968260964,0.67163125,0.056586907353923986,284.91094914999996,75.83876492795677
acartoon_character,0.0,gc-ransac,0.056427917197079125,0.008393977407207502,0.020880757582832178,0.004023251976826952,0.035547159614246905,0.007368999652615616,0.2349132106904607,0.02893485850481285,0.74389375,0.08187015629505244,286.2762926399997,61.76139718157904
acartoon_character,0.0,lo-ransac,0.0850617794514817,0.012254979409779557,0.012628289927710276,0.0005435457325388011,0.07243348952377139,0.012128329824257053,0.41646110177270784,0.11023059010849824,0.87678125,0.008559185874190816,70.80970864499977,13.615175347417994
acartoon_character,0.0,vanilla,0.0844925055147747,0.01123899361928616,0.01234722776575337,0.0005142205684121794,0.07214527774902128,0.011024404955076252,0.4031115629861118,0.12595660721341242,0.8604625,0.009049943660772563,50.495205460000214,10.382010027290658
acartoon_character,0.05,gair-ransac,0.03703489796587573,0.0052317317507371884,0.01599401334121118,0.0031405704046117205,0.0210408846246645,0.002606728461838824,0.23308445280800744,0.03434180877992104,0.680952380952381,0.06307753806680348,333.186372415,98.45890390157905
acartoon_character,0.05,gc-ransac,0.06363209661352343,0.010181708750708639,0.027217965392269016,0.007542915208712307,0.03641413122125435,0.008291228800050286,0.22162387181946533,0.03745421295607972,0.6508392857142857,0.10160899354202826,302.75641265999985,62.076834116302805
acartoon_character,0.05,lo-ransac,0.123034287645104,0.018588191921718122,0.012976834452273284,0.0005650870246564453,0.11005745319283067,0.018158273255882366,0.48477432314821545,0.09777231823535319,0.8457916666666666,0.009494022575999555,101.17410195500034,12.240215199433393
acartoon_character,0.05,vanilla,0.12171655726798067,0.011923199837186605,0.01258995981857674,0.0002984562152567799,0.10912659744940387,0.011820456425554574,0.5355076270276653,0.10251903946192127,0.8304107142857143,0.008668387401817532,71.76436172500034,10.92007887318403
acartoon_character,0.1,gair-ransac,0.0377373335564528,0.004446843810391665,0.01590652351050935,0.002046381925619784,0.021830810045943404,0.003793618129169665,0.23700469135052565,0.01442127286826574,0.6966534090909091,0.044638236346642934,307.57778544499996,68.35063707136949
acartoon_character,0.1,gc-ransac,0.07024565699633752,0.006321967789563146,0.026775453495129962,0.007618883714691127,0.043470203501207505,0.009804953124615151,0.24067844160331928,0.04455699330225963,0.6713295454545454,0.11295878191876312,269.9378998249998,62.81803984804371
