outlier_frac,algo,chamfer_mean_mean,chamfer_mean_std,chamfer_mean_count,cd_coverage_mean_mean,cd_coverage_mean_std,cd_coverage_mean_count,cd_accuracy_mean_mean,cd_accuracy_mean_std,cd_accuracy_mean_count,hausdorff_mean_mean,hausdorff_mean_std,hausdorff_mean_count,classification_rate_mean_mean,classification_rate_mean_std,classification_rate_mean_count,runtime_s_mean_mean,runtime_s_mean_std,runtime_s_mean_count
0.0,gair-ransac,0.04806537590798135,0.012132107531153532,8,0.019458189642852022,0.012237799732392468,8,0.028607186265129224,0.006806452597061067,8,0.16630136840432588,0.1264494259220841,8,0.8809109417172739,0.14001176747215585,8,99.54089057437497,104.99071161073911,8
0.0,gc-ransac,0.05107200843859467,0.01192576747452381,7,0.01974926939360253,0.006429916744812449,7,0.03132273904499203,0.006282342768028303,7,0.12185234282647207,0.07351422005442691,7,0.8742744047619048,0.13322515186624462,7,132.79193413095257,129.45241846018806,7
0.0,lo-ransac,0.07275618759363886,0.03309492474406169,8,0.015050836633852175,0.00175889071420498,8,0.05770535095978656,0.03259737659163761,8,0.26522522382204833,0.2024071848717793,8,0.9256836717695682,0.0656326743639372,8,31.157669623125162,28.003564994555216,8
0.0,vanilla,0.07370394364554014,0.03488617936311295,8,0.015260112988724988,0.002014110047500561,8,0.05844383065681506,0.034036310521856156,8,0.26162544246124925,0.1991445588447865,8,0.9122414125759108,0.07879784189645275,8,19.935832646249967,18.930883053700068,8
0.05,gair-ransac,0.0479900680723745,0.01157914011746694,8,0.019747242870295025,0.011908326289345385,8,0.02824282520207934,0.005779068138821028,8,0.16005576621655068,0.12540068135527752,8,0.8782827559995976,0.13075295403483517,8,118.71147119999974,121.44264658858953,8
0.05,gc-ransac,0.05031065287462825,0.010610063335111119,7,0.018851739302128603,0.0051737106916883956,7,0.03145891357249953,0.006362632389094008,7,0.11925602083974994,0.07102844760888052,7,0.8738584642485152,0.1278987670431212,7,135.74980224142874,129.7388495729938,7
0.05,lo-ransac,0.08021194505509979,0.04032239251212307,8,0.014583922599868725,0.0018298667182892294,8,0.06562802245523097,0.03957134684395884,8,0.28393977110888147,0.21014929050743572,8,0.9097411374427209,0.07350665669398943,8,37.693378771874904,40.850729666747256,8
0.05,vanilla,0.08300959727049688,0.04196563924077062,8,0.015062484722706913,0.002045005312609904,8,0.06794711254778989,0.04112440104134531,8,0.30863876808757496,0.23403525619987145,8,0.8953397759073034,0.08859364530754511,8,25.56584927687527,27.8107326684694,8
0.1,gair-ransac,0.04906650441031035,0.013410782613858654,8,0.020987023296852012,0.014984639681516537,8,0.02807948111345825,0.005726238441321625,8,0.16169059292516028,0.1295025770677471,8,0.8774279922095616,0.12880793842354443,8,129.64854988,121.94633039909392,8
0.1,gc-ransac,0.05187128490813061,0.011958709564467906,7,0.018907943258456055,0.0047842561466801565,7,0.032963341649674474,0.00822837803068777,7,0.12597218377140829,0.08027620284505795,7,0.8754682492015642,0.11795388753388447,7,141.35974552999986,110.01806366872961,7
0.1,lo-ransac,0.08507338867819962,0.04378606838751126,8,0.015109675837069562,0.0018070153611766365,8,0.06996371284112995,0.043357003065415504,8,0.29473882900464016,0.23115698024612533,8,0.889624882030423,0.08507234219270506,8,46.30796305062493,45.45970506043347,8
0.1,vanilla,0.08894806118202549,0.048846534012916804,8,0.015184506129110025,0.0021577613354537718,8,0.07376355505291535,0.047998237784277954,8,0.3208313298490788,0.2556725172205903,8,0.8783970903758538,0.09452546499111955,8,31.56985309062513,30.281713821936215,8
0.15,gair-ransac,0.04874780291117334,0.013126169197637545,8,0.020305840574326574,0.013377786320413103,8,0.028441962336846635,0.0052515162070586405,8,0.15964857735886187,0.12987532796114862,8,0.8756736118837052,0.1268911647891011,8,129.51921153750024,110.67559078966605,8
0.15,gc-ransac,0.05370016265123593,0.01576276373912211,7,0.018652924033035388,0.004254580808098532,7,0.03504723861820047,0.012445738052367452,7,0.12853221324360267,0.084970025869569,7,0.8702131432032,0.10533195103512091,7,183.7112189664285,84.92677814840258,7
0.15,lo-ransac,0.08769579974543909,0.04528198272816435,8,0.014798206603817487,0.001912369666316081,8,0.07289759314162153,0.0446172726857799,8,0.30960892091876696,0.24164558179478782,8,0.8698040713615263,0.09026817653710502,8,47.94790144562479,49.29793520423994,8
0.15,vanilla,0.09151339053881176,0.04920286671286965,8,0.015262764468514812,0.002055096450304994,8,0.07625062607029688,0.04841558468063576,8,0.32951239067232163,0.25317824609023415,8,0.8601619628153919,0.10115783028121679,8,31.888565789374912,30.88491250416456,8
0.2,gair-ransac,0.048532257657307704,0.011997204106633673,8,0.020352380892655137,0.012907081105805598,8,0.028179876764652462,0.005151790064867089,8,0.15665720857108037,0.12526748254296538,8,0.8784637753369565,0.12384139183072207,8,140.17850853687486,120.64261403713458,8
0.2,gc-ransac,0.05645582587676767,0.019551323153137814,6,0.01801471711789425,0.004375607139214518,6,0.03844110875887332,0.015641172171124953,6,0.13054469253109652,0.09771817109060695,6,0.8747221613365621,0.11012980751436806,6,235.73291211166654,51.39858235427651,6
0.2,lo-ransac,0.09081428674403924,0.04816574902713288,8,0.014855547346101224,0.001883176872947582,8,0.07595873939793793,0.04747582909575878,8,0.3189176493700326,0.23792114746164567,8,0.8564630895563057,0.09811930549629523,8,51.514418851875035,48.26294271203819,8
0.2,vanilla,0.09294499668087952,0.05110276114905611,8,0.015470896501087237,0.002097917704364306,8,0.0774741001797922,0.05027323955671428,8,0.33132211321882926,0.2565859089837258,8,0.8440604102995549,0.1111043194161034,8,34.27979405875001,28.948712837696252,8
0.25,gair-ransac,0.05263739012172397,0.02310346796721775,8,0.023799319994143635,0.023395318968862613,8,0.028838070127580252,0.0050116503618610215,8,0.16418793007318955,0.1444373795541421,8,0.8799546162813843,0.1285526845290331,8,142.51552288687486,112.46240343721118,8
0.25,gc-ransac,0.06719141953006656,0.03182607793634743,7,0.028989413420539033,0.029975725574088286,7,0.03820200610952741,0.01721104895435856,7,0.16624949940437225,0.12933300724898672,7,0.8367933364910952,0.14360376918448428,7,232.85831856071445,50.49427930722001,7
0.25,lo-ransac,0.09699351477127639,0.043015884712116835,8,0.015221526222324437,0.0018528984238038134,8,0.0817719885489519,0.042810701277196,8,0.3468235914582106,0.2039245608577351,8,0.8373088897096704,0.1013209170428343,8,53.506337994999555,47.526675231527996,8
0.25,vanilla,0.10186608972954471,0.04603738803388681,8,0.015492101353716987,0.0019955588911973144,8,0.0863739883758276,0.045766945525960105,8,0.37299930626018774,0.22365868877572417,8,0.8249356792132703,0.11108672486779154,8,35.933472021250076,27.83199389811378,8
0.3,gair-ransac,0.04858947445062284,0.011448969479319815,8,0.020175991526568113,0.012667741551844422,8,0.028413482924054625,0.00522127407087744,8,0.15606286492298765,0.12475985967626513,8,0.8873127091515566,0.1028756164502628,8,137.51120406562526,114.14451962570641,8
0.3,gc-ransac,0.0589308491186746,0.02269470370040211,6,0.017412366180696717,0.003447671235337486,6,0.04151848293797778,0.020339497036886103,6,0.1366588429457868,0.10827380129332481,6,0.8742539767331433,0.10014807141967039,6,236.3955642633331,51.745401403116375,6
0.3,lo-ransac,0.10708265300472906,0.033135814753572974,8,0.015015336893744374,0.0017178332267740615,8,0.0920673161109846,0.03292411762661326,8,0.4130650333439483,0.1391943987343779,8,0.8120068113479993,0.09223358757160245,8,57.25902391750003,46.7081993220913,8
0.3,vanilla,0.11130664319226818,0.03664535476567003,8,0.015480429415945863,0.002056694931775542,8,0.09582621377632221,0.03592605173212339,8,0.43005492663956196,0.13958050372876296,8,0.8000816897679562,0.10236783798547834,8,38.1442863775002,26.207362310738212,8
0.35,gair-ransac,0.05139667489251059,0.019626398321032607,8,0.022439226288028063,0.020755741749502184,8,0.02895744860448245,0.005305266684328936,8,0.16665927263112956,0.13686745185555893,8,0.884297678684322,0.11852109820991538,8,142.29982871937517,119.96148591868102,8
