algo,chamfer_mean,chamfer_std,chamfer_count,cd_coverage_mean,cd_coverage_std,cd_coverage_count,cd_accuracy_mean,cd_accuracy_std,cd_accuracy_count,hausdorff_mean,hausdorff_std,hausdorff_count,classification_rate_mean,classification_rate_std,classification_rate_count,runtime_s_mean,runtime_s_std,runtime_s_count
gair-ransac,0.04964181013940647,0.017265390410068394,1440,0.02106550679406973,0.01740299325850865,1440,0.02857630334533668,0.006004898908011622,1440,0.16200590135381907,0.1258107526199941,1440,0.8805012538137625,0.12282762067890417,1440,130.68698349305555,120.29158781751617,1440
gc-ransac,0.05571683418993603,0.01843071537314037,1094,0.018032909707998562,0.005820646401522351,1094,0.037683924481937414,0.015700714247685436,1094,0.12996686757714668,0.09188844381438281,1094,0.8754004191717966,0.11366666781393986,1094,198.80000054085926,107.08799245175457,1094
lo-ransac,0.09478248675958448,0.04167803117189426,1440,0.014973166895494829,0.0018959127171441815,1440,0.0798093198640896,0.04118193600033533,1440,0.3474966145682239,0.2158941674303226,1440,0.8514145468579323,0.09758620441766366,1440,49.61218044729161,43.66797225815674,1440
vanilla,0.09833706113377078,0.044106300676364674,1440,0.015346635421995191,0.0020152993622819643,1440,0.08299042571177553,0.04349024317659529,1440,0.3685015741486023,0.22651582590620775,1440,0.8397372182431645,0.10515366272837512,1440,33.20474088666673,26.861976150068976,1440
