algo,chamfer_mean,chamfer_std,chamfer_count,cd_coverage_mean,cd_coverage_std,cd_coverage_count,cd_accuracy_mean,cd_accuracy_std,cd_accuracy_count,hausdorff_mean,hausdorff_std,hausdorff_count,k_mean,k_std,k_count,n_covered_mean,n_covered_std,n_covered_count,n_evals_mean,n_evals_std,n_evals_count,n_candidates_mean,n_candidates_std,n_candidates_count
gair-ransac,0.1057359888888889,0.06087181337260734,90,0.07707395555555556,0.0631692468174281,90,0.02866202222222222,0.007285745906578884,90,0.33380546666666666,0.2682008186577338,90,1.0,0.0,90,1143.0666666666666,1289.379755079546,90,12.422222222222222,7.374382895953383,90,12.422222222222222,7.374382895953383,90
gc-ransac,0.07695691891891891,0.040577285191688,74,0.03686489189189189,0.03606150882375399,74,0.0400920945945946,0.02021133922898939,74,0.19094308108108107,0.16816905575581248,74,1.0,0.0,74,1409.4054054054054,1483.3750846007279,74,7.351351351351352,3.890390100637099,74,7.351351351351352,3.890390100637099,74
lo-ransac,0.09025062222222222,0.04890738650413318,90,0.03476903333333333,0.020866276230271118,90,0.05548162222222222,0.03691291108175889,90,0.21378299999999997,0.15379140462086432,90,1.0,0.0,90,1218.9777777777779,1418.7523319014858,90,21.7,14.768969900101773,90,21.7,14.768969900101773,90
vanilla,0.09377662222222223,0.05173026868362854,90,0.03543992222222222,0.022269602296730782,90,0.05833672222222222,0.039467633480643645,90,0.21376297777777778,0.14845976142830022,90,1.0,0.0,90,1167.1222222222223,1342.8708959988853,90,22.288888888888888,15.137752823629844,90,22.288888888888888,15.137752823629844,90
