algo,method,outlier_frac,budget_s,k,n_covered,n_evals,chamfer,cd_coverage,cd_accuracy,hausdorff,n_candidates
lo-ransac,exhaustive,0.4,60.0,1,346,27,0.080072,0.028849,0.051223,0.176207,27
lo-ransac,ransacov,0.4,60.0,1,346,27,0.080072,0.028849,0.051223,0.176207,27
vanilla,exhaustive,0.4,60.0,1,315,34,0.082986,0.030131,0.052855,0.170965,34
vanilla,ransacov,0.4,60.0,1,315,34,0.082986,0.030131,0.052855,0.170965,34
