algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,2,343743907,0.05,0.09754008377322299,0.01466381253329042,0.08287627123993256,0.4256772864511468,0.8543046357615894,15.707977900048718,4,1260,0
vanilla,0,202369183,0.05,0.12028109426266098,0.015200558823073092,0.1050805354395879,0.5706219411567339,0.8317880794701987,20.162020899995696,5,1223,0
vanilla,1,1766705601,0.05,0.1252967495907848,0.015045784194658792,0.110250965396126,0.5470413041948761,0.828476821192053,23.399245299980976,5,1225,0
vanilla,4,700761324,0.05,0.15103500822999552,0.016639639039420638,0.13439536919057488,0.6494204265584059,0.8145695364238411,25.385022600006778,5,1198,0
lo-ransac,4,700761324,0.05,0.1423466547545849,0.01491063137793515,0.12743602337664975,0.6875277165140019,0.8456953642384106,25.66570449998835,5,1249,7
vanilla,3,1284314016,0.05,0.11274428563825994,0.014023430577720692,0.09872085506053925,0.4513797358637972,0.8278145695364238,28.099544600001536,6,1224,0
lo-ransac,2,343743907,0.05,0.10314234852628569,0.015052095047159484,0.0880902534791262,0.5266082593756738,0.8655629139072848,28.553876799996942,4,1272,7
lo-ransac,0,202369183,0.05,0.09865701384831693,0.015471958166418756,0.08318505568189817,0.41849615675388474,0.866225165562914,32.289269000000786,4,1273,7
lo-ransac,3,1284314016,0.05,0.10335376240749,0.014038246414515227,0.08931551599297477,0.510026868477435,0.8543046357615894,37.82178629998816,5,1261,8
lo-ransac,1,1766705601,0.05,0.10878221916900996,0.01520279376068323,0.09357942540832673,0.5278343670659194,0.8443708609271523,41.28155050001806,5,1249,10
gair-ransac,2,343743907,0.05,0.04369310300306871,0.015468485823676423,0.02822461717939229,0.1886714407194071,0.8503311258278146,84.91900990001159,4,1220,37
gair-ransac,4,700761324,0.05,0.06030078006384325,0.028263411725704658,0.03203736833813859,0.21824277917074975,0.7403973509933774,100.43555479997303,3,1054,40
gc-ransac,2,343743907,0.05,0.06067886962524157,0.03369980727462092,0.02697906235062065,0.2649022964555117,0.6900662251655629,105.79716650000773,2,980,41
gc-ransac,3,1284314016,0.05,0.056314932880452466,0.027911041177052426,0.02840389170340004,0.16935546521976635,0.6814569536423841,113.0018190999981,2,968,35
gair-ransac,0,202369183,0.05,0.05096511907898916,0.018021232670428815,0.032943886408560344,0.18002535431597286,0.8298013245033112,123.88391230005072,4,1191,29
gair-ransac,3,1284314016,0.05,0.048009825818240925,0.017471268189822368,0.03053855762841856,0.16933751913847883,0.8403973509933775,126.87566839996725,4,1207,40
gc-ransac,4,700761324,0.05,0.06073056838508564,0.03437948601740702,0.026351082367678618,0.26533477591311977,0.6503311258278146,129.54728110000724,2,920,37
gc-ransac,0,202369183,0.05,0.10705101410158108,0.04827942055313552,0.05877159354844555,0.31904436580764634,0.48940397350993375,134.56264870002633,1,680,31
gair-ransac,1,1766705601,0.05,0.05174666358712983,0.01787110278586675,0.033875560801263076,0.17946061039252137,0.8450331125827815,158.6493612000486,4,1213,55
gc-ransac,1,1766705601,0.05,0.09786991197215836,0.0477156275816367,0.05015428439052165,0.2770468471621305,0.5059602649006623,165.17020059999777,1,702,45
