algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,3,906437584,0.25,0.1580285870882823,0.01173133194632608,0.1462972551419562,0.35415127774074384,0.7595465393794749,11.396838399989065,4,1200,0
vanilla,2,596588266,0.25,0.15750516411329957,0.010555091588372388,0.14695007252492717,0.44842425510376965,0.7589498806682577,17.62637580005685,4,1206,0
vanilla,0,1014630350,0.25,0.14392734611534444,0.010502424231010185,0.13342492188433425,0.36975036775803677,0.7822195704057279,17.791928299993742,4,1230,0
vanilla,1,2087910869,0.25,0.17726850730995924,0.011952150145105108,0.16531635716485413,0.4860813509770987,0.7696897374701671,21.32074219995411,5,1233,0
lo-ransac,1,2087910869,0.25,0.1760415787459292,0.01100472924844014,0.16503684949748906,0.5227182803066706,0.8066825775656324,22.334536499984097,4,1263,5
vanilla,4,183499580,0.25,0.1673665580137143,0.011779229615954113,0.15558732839776018,0.4423361796682063,0.7822195704057279,23.85164549999172,4,1243,0
lo-ransac,4,183499580,0.25,0.19305780504672027,0.01066453554952138,0.1823932694971989,0.6526716777119798,0.7804295942720764,32.167287899996154,4,1220,7
lo-ransac,2,596588266,0.25,0.1383409337323105,0.01203806928107036,0.12630286445124014,0.33049252315606287,0.7959427207637232,36.194900700007565,4,1247,6
lo-ransac,3,906437584,0.25,0.16989825139602285,0.011157258299405169,0.15874099309661768,0.4377670590271527,0.7673031026252983,38.81534619996091,4,1229,9
lo-ransac,0,1014630350,0.25,0.18529559304316962,0.011897803006096561,0.17339779003707306,0.6820271103999266,0.7840095465393795,39.43602620001184,5,1250,8
gc-ransac,2,596588266,0.25,0.10697276757961523,0.0167043969032854,0.09026837067632983,0.2680179039063184,0.7231503579952268,103.14770620001946,1,975,26
gc-ransac,3,906437584,0.25,0.10198645876520415,0.017758958061204987,0.08422750070399916,0.2473610734375178,0.7106205250596659,104.75634840002749,1,952,29
gc-ransac,0,1014630350,0.25,0.11924502181502131,0.017957290283062595,0.10128773153195872,0.2997964558188604,0.7321002386634845,118.68861939996714,1,1003,25
gc-ransac,1,2087910869,0.25,0.11930974490453926,0.018569075218001992,0.10074066968653726,0.29832211706375017,0.7571599045346062,127.63715840002988,1,1024,37
gair-ransac,3,906437584,0.25,0.1996200136199514,0.1853630133325454,0.014257000287406021,0.8422701871667192,0.7130071599045346,172.22647409996716,1,869,67
gair-ransac,1,2087910869,0.25,0.19909346990745894,0.18394480129897242,0.015148668608486519,0.8386197870737649,0.7136038186157518,177.21867410000414,1,870,67
gair-ransac,2,596588266,0.25,0.04666746782263352,0.006865631438971429,0.03980183638366209,0.2028018085926124,0.9457040572792362,187.19010730000446,3,1295,52
gair-ransac,0,1014630350,0.25,0.1990579514302795,0.1840181611097377,0.015039790320541785,0.8389611660201151,0.7136038186157518,195.28300769999623,1,870,75
gair-ransac,4,183499580,0.25,0.04576620704694626,0.0069362278011225065,0.03882997924582376,0.17397767642497625,0.9427207637231504,205.28850409999723,3,1292,63
