algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,0,721560819,0.15,0.06642880355100507,0.01565941882712048,0.050769384723884585,0.19888485134978798,0.8849372384937239,4.122623999952339,2,396,0
vanilla,4,1175509482,0.15,0.06567462466513127,0.014318429295670084,0.05135619536946119,0.21681421485670851,0.8807531380753139,4.005913500033785,2,391,0
lo-ransac,2,1153974482,0.15,0.0692779946924792,0.01537496991219017,0.05390302478028903,0.2623965102846042,0.8556485355648535,4.171743799990509,2,385,2
vanilla,2,1153974482,0.15,0.0697436888736012,0.014947748428874611,0.0547959404447266,0.18869169795234605,0.8891213389121339,5.2747289999970235,2,393,0
lo-ransac,4,1175509482,0.15,0.06727230437874793,0.014737317927141292,0.05253498645160664,0.19341660066003288,0.8849372384937239,5.425939399981871,2,394,2
lo-ransac,0,721560819,0.15,0.06621463001402854,0.01508291095720037,0.05113171905682817,0.17253155295423833,0.8786610878661087,5.8793834000243805,2,391,2
vanilla,1,671918867,0.15,0.06210149330342683,0.015041538868197233,0.0470599544352296,0.1512839862632693,0.893305439330544,6.4932411999907345,2,395,0
lo-ransac,3,1928932686,0.15,0.06494282746209452,0.014568529230785183,0.050374298231309345,0.1769244370795194,0.9058577405857741,6.857739400002174,2,402,2
lo-ransac,1,671918867,0.15,0.06486836944363175,0.01473864131319962,0.05012972813043213,0.1744714016271955,0.9037656903765691,7.849856799992267,2,400,3
gair-ransac,0,721560819,0.15,0.04709923885671602,0.008220686222052116,0.0388785526346639,0.2083028148180563,0.9832635983263598,8.256985800049733,2,416,8
vanilla,3,1928932686,0.15,0.0650512115857267,0.014984036720028552,0.05006717486569815,0.19007185638418458,0.897489539748954,13.521393699978944,2,396,0
gair-ransac,3,1928932686,0.15,0.053025259823054824,0.018711042497315207,0.03431421732573962,0.10497901387717068,0.891213389121339,56.37936149997404,1,371,25
gc-ransac,2,1153974482,0.15,0.052420056294349954,0.018658540111296574,0.033761516183053376,0.106164112250038,0.8493723849372385,72.95993989997078,1,364,31
gc-ransac,3,1928932686,0.15,0.0527539670231074,0.018563671621875347,0.03419029540123205,0.09680754424507038,0.8410041841004184,84.33465959999012,1,360,30
gc-ransac,1,671918867,0.15,0.054036752894725246,0.019272245364133737,0.03476450753059151,0.10314407106134525,0.8472803347280334,89.37462140002754,1,363,26
gc-ransac,0,721560819,0.15,0.052929333391281724,0.01857893892469547,0.034350394466586255,0.10655047491764733,0.8451882845188284,94.32938800001284,1,363,30
gair-ransac,4,1175509482,0.15,0.05237753322864121,0.018553719115339342,0.03382381411330186,0.10389241139178672,0.8786610878661087,97.2456516000093,1,366,27
gc-ransac,4,1175509482,0.15,0.053468842495586005,0.01885638584378899,0.03461245665179702,0.10599835131719947,0.8514644351464435,97.52135679998901,1,365,22
gair-ransac,1,671918867,0.15,0.053212489186450426,0.018643303584759907,0.03456918560169052,0.10182936646378478,0.8744769874476988,121.78607229999034,1,363,29
gair-ransac,2,1153974482,0.15,0.05343089484197756,0.01914683731559482,0.034284057526382736,0.1046982750755607,0.8828451882845189,140.12346459995024,1,368,32
