algo,method,outlier_frac,k,n_covered,n_evals,chamfer,cd_coverage,cd_accuracy,hausdorff,n_candidates
vanilla,ransacov,0.2,1,3330,50,0.111813,0.063355,0.048459,0.23637,50
lo-ransac,ransacov,0.2,1,3779,50,0.118137,0.068319,0.049818,0.251875,50
gc-ransac,ransacov,0.2,1,3382,13,0.104051,0.059773,0.044278,0.228255,13
gair-ransac,ransacov,0.2,1,3481,13,0.19263,0.159206,0.033424,0.632247,13
