algo,trial,seed,outlier_frac,chamfer,cd_coverage,cd_accuracy,hausdorff,classification_rate,runtime_s,n_models,n_inliers,n_local_opts
vanilla,4,183499580,0.3,0.17342063897316018,0.011884159949174649,0.16153647902398552,0.470252009445107,0.7619047619047619,9.675982600019779,4,1237,0
vanilla,0,1014630350,0.3,0.1679655034760617,0.014529531937309725,0.153435971538752,0.3654451083665441,0.7515777395295468,14.545769099961035,4,1219,0
vanilla,3,906437584,0.3,0.1817464054442962,0.012868166961754,0.16887823848254221,0.43146237408174143,0.774526678141136,15.993681599968113,4,1260,0
lo-ransac,0,1014630350,0.3,0.15590315327755075,0.01247021140131135,0.1434329418762394,0.3713312365568444,0.7578886976477338,19.55352929997025,4,1245,4
vanilla,2,596588266,0.3,0.14399852067791113,0.010715250507450012,0.13328327017046113,0.3617255565459154,0.7762478485370051,20.30254140001489,5,1267,0
vanilla,1,2087910869,0.3,0.18330205928048948,0.012656797671074579,0.1706452616094149,0.5311143510826419,0.7504302925989673,22.557445999991614,4,1226,0
lo-ransac,2,596588266,0.3,0.1724843418722401,0.010962184382930645,0.16152215748930945,0.43369030070056214,0.7716580608146874,28.227274900011253,4,1251,7
lo-ransac,1,2087910869,0.3,0.1418129184507184,0.012023817276117007,0.12978910117460138,0.3986446401395441,0.7567412507171544,29.875229600002058,4,1226,6
lo-ransac,3,906437584,0.3,0.15660946614445306,0.011900000931816257,0.1447094652126368,0.40080941593016817,0.7664945496270797,31.870434599986766,4,1240,10
lo-ransac,4,183499580,0.3,0.20117804036675185,0.01194342223695099,0.18923461812980086,0.6508245527445596,0.7641996557659209,33.11516059999121,4,1253,5
gc-ransac,4,183499580,0.3,0.10691627735906042,0.01815303161834412,0.08876324574071631,0.21057034876407424,0.7068273092369478,99.91947459999938,1,970,29
gc-ransac,0,1014630350,0.3,0.09835810685596619,0.017546089806537525,0.08081201704942866,0.22532293413759552,0.7045324153757889,108.68461949995253,1,947,29
gc-ransac,1,2087910869,0.3,0.10219455111559975,0.01829155280442,0.08390299831117974,0.22314917694880665,0.6987951807228916,121.95366070000455,1,949,29
gc-ransac,3,906437584,0.3,0.11017109556398885,0.01772142000986597,0.09244967555412288,0.2261570093686631,0.7372346528973035,122.25756469997577,1,1013,28
gc-ransac,2,596588266,0.3,0.10300167159156602,0.019282928171023103,0.08371874342054292,0.22467785167964902,0.7091222030981067,143.9603780999896,1,976,32
gair-ransac,3,906437584,0.3,0.0415782562106917,0.006895465919707894,0.034682790290983805,0.16407669677922443,0.9437751004016064,160.23784069996327,3,1291,37
gair-ransac,4,183499580,0.3,0.05070461274289688,0.005413201232895022,0.04529141151000186,0.19416636014889582,0.9443488238668961,179.01637949998258,4,1307,59
gair-ransac,0,1014630350,0.3,0.04136745945281768,0.007852985047686539,0.033514474405131146,0.11747002258883035,0.9254159495123351,196.64376740000444,4,1244,67
gair-ransac,1,2087910869,0.3,0.04975671975955039,0.013087597063521852,0.03666912269602854,0.2367839389553044,0.9168100975329891,223.64637230004882,2,1232,63
gair-ransac,2,596588266,0.3,0.042047939497199316,0.005416161968339248,0.036631777528860064,0.1947689157433408,0.9414802065404475,233.58471249998547,4,1300,74
